l_english:
 zhx_opening.101.t:0 "番禺旧帆"
 zhx_opening.104.a:0 "佛性本无南北。"
 zhx_opening.105.t:0 "众峒举火"
 zhx_opening.105.d:0 "侬国的起事，从桂林的一道道征令开始。冯霸治下，官府要改易诸峒旧制，征收财赋，又抽调壮丁北上抗楚。左右江的田地无人耕作，外出的亲人久不归乡，百色豪强侬智高于是与各峒首领商议起兵，并同田州的田氏桂娇结盟。最初聚集的人马各有寨主，他们共同要做的，是让桂林的差役不再进山拿人。\n\n叛军每下一城，便拉拢当地周人豪强，减轻徭赋，以结盟代替一味驱逐。山中居民愿为他们引路，平地上的地方势力也愿为新盟开仓，侬氏因而很快超过了桂西其他起兵者。田州保留自己的田氏家主，与侬氏通婚交好；周围诸峒则依靠共同的胜利，逐渐认侬氏为首。\n\n1403年，第二代大峒主侬谊莫攻取安南高平。安南既得不到桂林、南海的援兵，境内又有壮人转而投奔侬军，只得以白藤江合约承认兄弟之盟，付出岁币，换取马匹与安宁。后来侬军又借冼玉阶取得粤西数州，昔日被征发的山民，终于成了岭南诸国不能忽视的力量。\n\n侬莫拿今日承接的威望，来自这些胜仗，也来自各峒自愿守约的旧情。地方首领仍各管兵民，大峒主并不能将他们视作随时听调的部属。冼玉阶据守俚寮、渐与南海缓和，已经显出这个难处：盟友有自己的土地，也有自己的打算。布洛陀的故事把许多人聚在同一片山川之中，侬莫拿还须找到一种办法，使他们在不再共同受难之后，仍愿意共同议事。"
 zhx_opening.105.a:0 "我叙古人根，我说先祖源。"
 zhx_opening.106.t:0 "桂娇遗约"
 zhx_opening.106.d:0 "田州人记得田氏桂娇，首先因为她在桂林的征令面前没有退让。冯霸强改地方旧制，调走壮丁抗楚，左右江田亩日渐荒芜时，田氏本可继续借桂林的名义统治诸峒。桂娇却选择与百色的侬智高结盟，让田州的人马加入起兵者。这个决定把田氏与旧朝分开，也为后来的田州留下了自己的地位。\n\n侬国建立后，没有将田州直接吞并。为酬答共同起兵的功劳，侬氏保留田氏的统治，双方以婚姻与盟好相联。田州向侬国朝贡，境内事务仍由自己的峒主主持。百色起家的大峒主能够号召更多人马，田州则守着它在立国之初便已换得的自主。每次议论两国关系，桂娇的名字都会被重新提起。\n\n这段往事也改变了田氏家门之内的规矩。女家主亲自作出的决断，早已成为可以传给后人的功业，女子参与家国事务因而有了难以抹去的依据。现任峒主田舍那决定由长女田氏毗耶梨承位，并非毫无来由的异举。只是桂娇当年凭并肩作战赢得的信任，还需要后来的继承者以自己的行事维系。\n\n山里的佛寺照旧有香火，寨中人家仍盼望少些征调、多些安生日子。桂林尚未放弃失地，侬国的力量又日渐壮大；田州既离不开盟友的庇护，也不能忘记结盟时保留自身的初衷。田舍那交到女儿手中的，将有家门印信、贡盟与各寨的期待。桂娇留下的旧约，到了新一代手里，仍须有人使它算数。"
 zhx_opening.106.a:0 "一切诸法，非男非女。"
 zhx_opening.107.t:0 "高凉旧将"
 zhx_opening.107.d:0 "冼玉阶本是南海将领，也是高州人。1412年，他奉侬谊莫之命反攻粤西，沿途连下数州。对于这些城邑中的居民，率兵而来的并非一个全然陌生的人；对于番禺朝廷，这个熟悉乡里的降将却尤其棘手。南海正与潮州交战，又要防备北方楚军，已经无力再将西面战线拖延下去。\n\n议和以后，南海割出高、雷、窦、化四州，冼玉阶得以统领粤西俚寮。新的峒主仍依靠旧日行军招集的人马，只是他所听从的大峒主已在西面。侬谊莫在世时，这份关系尚有征服与授地的威信维持；及至其突然死去，冼玉阶拥兵据地，侬莫拿又不敢贸然发兵，原本清楚的号令便渐渐变成需要商量的盟约。\n\n如今俚寮仍向侬国朝贡，却开始与南海缓和关系。冼玉阶可以凭借这份接近争取番禺的让步，也可以借侬氏的庇护保住自己的位置。可是，两边都记得粤西的归属曾如何改变；哪一边作出新的保证，都可能要他拿出不止一句话来交换。若真要重归南海，他麾下凭战争得到土地的人，又能否保住所获。\n\n高州的朝廷奉礼教、尊道家，境内壮侗与粤人却各有祖先和乡俗。共同生活在这些州县的人，所求未必与三家的疆土打算相同。冼玉阶已经替他们换过一次旗帜，继承者冼真君将接到的，可能仍是三国之间这笔未了的旧账。眼下，往返东西的使者都能进城；谁能让这里长久安定，尚没有最后的答案。"
 zhx_opening.107.a:0 "唯用一好心。"
 zhx_opening.108.t:0 "两重冠冕"
 zhx_opening.108.d:0 "顺化朝廷向北递出的表章，称君主为安南伯；宫廷之内，人们却知道吴氏曾如何争得自己的尊号。954年，豪族吴敏逼姬鹏让位，放逐旧主于林邑，自称安南天子。周天子亲率中央与南海、桂林联军南征，却在白藤江遭到大败。吴敏随后乘胜请降，舍去对外的帝号，取得了安南伯的正式册封。\n\n此后数百年，吴氏反复运用这份先例。北方安定，便遣使上贡；蒙元南侵、周室自顾不暇，宫中便更加坦然地使用天子名号。礼教、儒学与册命使安南仍可自居周室封国，独掌的土地、军队与宫廷礼仪，又使它的臣民习惯于一个不必事事听命北方的朝廷。双方都知道其中的含混，也都曾从这种含混中得到过安宁。\n\n1403年，高平的败局打破了吴氏的从容。侬谊莫率军攻入，境内壮人又有倒向侬国者；桂林与南海既与安南交恶，也不愿来援。吴氏只得割地议和，与侬国结为兄弟，以岁币换取马匹。曾令北方联军止步的白藤江，如今又成为一纸屈辱合约的名字，朝臣已不能仅凭旧日战功说服所有人。\n\n吴业群仍有红河田赋、河内学宫和象兵可以倚仗，但顺化的国策已到了需要重新斟酌的时候。修好北方，或许可以打破孤立，却要拿出足够诚意；继续向南索取土地与人口，又会把更多人卷入征服与奴役。宫中的帝号并未撤去，送往周廷的表章也仍在书写。吴业群必须决定，哪一种名分能够为眼前的山河换来真正的保障。"
 zhx_opening.108.a:0 "南国山河南帝居。"
 zhx_opening.201.t:0 "一堤之众"
 zhx_opening.201.d:0 "常德城外，旧堤上的石碑刻着修堤人的姓名。富户出了多少粮，船户送来多少木料，佃农服了多少日役，都曾逐项记在碑上。蒙古南侵时，北来流民沿沅水安家，地方壮丁却接连调走，失修的堤岸屡遭冲决。城中还没有公邑的印信，各处圩田只顾筑高自己的堤，洪水便沿着邻人的缺口灌进去。\n\n主持合堤的彭济，是个替人丈田的墨者。他劝各圩拆去阻水的私堰，按保全的田亩分摊钱粮，又让出力的乡民推人查账。各圩又将余粮合储，接济难民、供给抗蒙舟师。战后，返回的官吏想将公仓与新垦田一并收归旧制，各圩遂推彭济携堤图、粮册赴周廷陈情。天子认可常德治水供军之功，准其以一邑自治，让战时自理钱粮的办法留了下来。\n\n从此，治堤时议事的规矩进了城中公堂。常人奉礼教而重墨学，每四年推举执政；春祭时，旧日出役的人家仍可在碑前找到先人的名字。棉田与织户渐多，常德又加入扬国商盟，将布匹运往下游。靠水吃饭的人，总算积下了不必随下一场水灾散尽的家业。\n\n如今执政彭守成出自彭济一族，却已是城外的大田主。他要重修东堤，主张照旧按田分费，族中的长辈最先反对。多年典卖之后，许多曾经刻名的农户已经失田，公堂上的席位也随田契落入少数人家。春汛尚远，丈田人已在门外等候。彭守成须先让他们走进自家的庄田。"
 zhx_opening.201.a:0 "沅有芷兮澧有兰。"
 zhx_opening.202.t:0 "江口公秤"
 zhx_opening.202.d:0 "九江的公秤放在码头入口，秤砣用铁链系住，谁都可以上前复称。远来的茶商常听到一个故事：从前同一担茶叶进城、入栈、装船，要依次过三杆秤，每过一次便轻几斤；收税的人换了旗号，吃掉的斤两却从未减少。\n\n蒙古入侵后，逃难的船只与运军粮的船队挤在江口，各路征发又使货物寸步难行。墨者严平召集船户、牙行订下共约：撤去私卡，以公秤验货，合办粮运，钱粮账目按期示众。各行筹粮、修船，靠共同护送将物资送往抗蒙军中。战后关吏重设旧卡，船户便停航陈请。周廷还需借九江恢复江运，也不能抹去商民供军的功劳，遂承认公邑自治，将战时的转运公所留作议事之所。\n\n安定给九江带来了茶山以外的财富。上游的木料、南来的货担在此换船，外乡人在栈房住下，又把家眷接来。九江加入扬国商盟后，货主可以托盟中的熟人追索欠款，几家大茶栈更靠垫付本钱，把生意做进了山里的收茶场。\n\n陶秉钧便出自其中一家。他掌政以来修了仓廒，备足救济米，商路不靖时也肯出钱雇人护航。只是小商贩渐渐发现，公秤仍旧准确，价钱却早已由几家茶栈议定；欠下春茶本钱的人，秋后再无别家可以投售。陶秉钧正在筹办下一次商盟会面，盼望让九江的分量赶上扬州。码头上的挑夫则将旧共约重新誊了一份，贴回公秤旁边。"
 zhx_opening.202.a:0 "大江茫茫去不还。"
 zhx_opening.203.t:0 "留门待归"
 zhx_opening.203.d:0 "汉阳的暮鼓要等最后一班渡船靠岸才敲。别处的客商嫌它误事，本地老人却说，城门关得早了，会把人留在江上。这规矩起于蒙古兵锋逼近江汉之时：旧守将撤走，渡口挤满携家逃难的人，城中大户已经备好封门的木石。修船匠杜崇却带着徒弟拆开一处栅门，将岸边的人接进来，随后把自家囤存的桅木运上城头。\n\n蒙古军进逼渡口时，留下守汉阳的，便是这些船匠、渡户与无处可去的人。懂得墨家守御的游士教他们补墙、备水、轮值，妇孺在城内缝帆搓索，来不及登记的乡勇就把姓名刻在木牌上。围困解除后，出粮的大户与守城的各坊共同推人理事，后来凭抗蒙守土、安置流民的功劳获周廷授为公邑。得来的地方很小，许多人却终于可以把祖先牌位从行囊里取出来。\n\n汉阳此后靠修船和供应绳索、桅杆度日，奉礼教，尊墨家，四年一易执政。扬国商盟给了它沿江的照应，船坞却供养不起一支足以独当大国的军队。杜氏后人杜应川接掌公印时，祠中留下的木牌已经蛀坏大半；前人接纳的外乡人，如今也有了自己的坊籍与田产。\n\n近年又有失地者循江而来。老坊民愿意施粥，却不愿让新人分担船坞的活计，更不愿多摊修墙的钱。杜应川曾替各坊许下压低征费的承诺，如今救济粮渐少，只得重议旧约。他将一块刻名尚清楚的木牌带进公堂。牌上那个人，正是坚持封门的一位坊老的先祖。当天暮鼓照旧晚敲，最后一条渡船还载着人。"
 zhx_opening.203.a:0 "鸟飞反故乡兮，狐死必首丘。"
 zhx_opening.204.t:0 "炉火照江"
 zhx_opening.204.d:0 "天色未明，芜湖的炉场已经开始鼓风。铁料卸在江岸，农人来取犁铧，船主来订铁锚，替诸侯办事的人则把所需刀枪另写在纸上。蒙古入侵时，北方有匠户逃过掳掠，携家南下，在这里重新架炉。他们带来的手艺很快用于修造抗蒙军械，地方官府却仍按旧籍抓取工役，险些将刚聚齐的匠人再度拆散。\n\n老匠沈铎召集各作坊，与船商合议供军：按约交付器物，由匠户自行分派工序，免受各路重复征调。刀枪与守城铁具沿江送出，作坊也自备器械保卫城坊。抗蒙的岁月里，这份约书成了芜湖理事的依据。战后有人要收回匠户自理之权，各坊便合呈供军旧账，请周廷保留成约，终于获授公邑。匠人将沈铎的旧锤供在议事处，拜过祖师，也记得前人如何从寄居逃户变成了此地的主人。\n\n墨学因这段往事在芜湖立足。节用、尚贤容易讲给匠徒听：废料要回炉，师傅的儿子若不会看火，也不能凭姓氏接掌炉场。只是各坊的议席仍多由炉主占着，雇工离了作坊，连递状诉欠薪都要托人作保。入扬国商盟以后，订单沿江而来，谁先拿到铁料、谁先装船，又成了议事处里最费口舌的事。\n\n新执政沈砺年轻时打过犁，后来靠替军中铸器置下两座炉场。他许诺让散工也能推人入堂，几位助他当选的炉主却把这事一再拖延。眼下邻国添购兵器，订钱足够给许多家庭过冬；讲席上的墨者又在劝各邑息兵。沈砺回到炉场时，工头已经将新样刀递到他面前，等他定下开炉的日子。"
 zhx_opening.204.a:0 "两岸青山相对出，孤帆一片日边来。"
 zhx_opening.205.t:0 "潮外有约"
 zhx_opening.205.d:0 "昌国的鱼市常在天亮前散去，外海的船却要等潮。候潮的客人挤在酒肆里，口音各异，说的是货价，也有不宜写进国书的消息。舟公邑只有海中这一片立足之地，薄田不足以养活全城；本地人捕鱼、修船、替来客引航，往往比来客自己更早知道哪条海路已经走不通。\n\n蒙古南侵、陆路阻断时，昌国船户曾从沿岸接走难民，也替抗蒙诸军转运粮械。各路将领争征船只，船主叶泊与诸澳长老只得共理船籍，分赴各方交涉，才使救难与运粮的船不至被一处扣尽。战后沿岸诸侯争要接管港湾，岛民便以旧日输运之功向周廷请命。天子授予公邑名分，各方也愿保留一处可以共同往来的泊地。册命到港时，迎诏的船上仍留着当年救难留下的补帆。\n\n连衡学宫便在此后扎下根来。游说之士替船商解争，也借商船将书信送往别国；各方愿在昌国见面，因为这里常能找到一个双方都肯听的人。舟人奉礼教而重纵横之学，加入扬国商盟后更有了远处的援手。不过，岛上的粮食仍要从海那边运来，说服一个使者，未必就能让他的国君放行粮船。\n\n叶素卿早年替船行往来议价，曾在扣船争端中换回数十名船工，因而被推为执政。她敢赴别国面争，却很少说起本家欠下的船债。如今大船主愿代公库垫付冬粮，要她将泊位优先留给自己的船；连衡学宫的说客又带来沿岸强国的示好，许诺便利，索取的却是拒绝另一国来船的保证。潮水将满，外港已有客船升旗求引，叶素卿还没有在两份约书上落印。"
 zhx_opening.205.a:0 "今夕何夕兮，搴舟中流。"
 zhx_opening.301.t:0 "云梦旧冠"
 zhx_opening.301.d:0 "云梦的池沼之间，水路曲折，城邑相望。荆州宫中的楚公仍以天下首霸的旧业告祭祖先，来朝的使者却已不能替所有楚地交付兵粮。熊方策接过大公冠冕时，父亲打下的许多土地，正在由他的兄弟和叔父分别号令。\n\n楚人从不把自己的历史看作一纸周室册命。百濮与古族的记忆留在歌辞和祭礼中，熊氏先君曾与周人争夺江汉，最终虽受楚子之号，却没有放弃向外伸展。公元前97年，周军为阻止楚国经营扬越而来，汉江一战得胜却损耗甚重，无力迫使楚人屈服，只得许其晋公。875年，熊霸通又借平定黄巢之乱进入镐京，一度挟持天子，争得大公之尊。荆州所守的名分，原是先人一次次逼出来的。\n\n熊立辉相信兵锋仍能续写旧业。他征潇湘、取江右、越岭南下，让诸子领兵镇守新土；长沙与衡阳的两支重兵，随后便成了向父亲索取伯爵封号的凭据。1438年东征群舒，熊立辉中杨士奇之计，死于长江。出征的军队各自退去，更多宗亲据地请封，熊方策只得以承认既成之局换取暂时安定。\n\n鄂伯趁乱夺权，倒使新公找回了一次发号施令的机会。汉阳之战后，姞氏重新请罪；但能制伏一个外姓封君，并不等于能收回同宗诸伯的兵权。熊万束将来所继承的，是一张仍称广大的楚国舆图，还是荆州真正能够征调的土地，取决于熊方策如何处理这些亲人的印信。朝会尚未开始，礼官已将各伯的席次排好。"
 zhx_opening.301.a:0 "受命不迁，生南国兮。"
 zhx_opening.302.t:0 "湘水分旌"
 zhx_opening.302.d:0 "长沙城中仍悬楚旗，只是发给军中的粮册，先要盖过长沙伯的印。熊方牍当年随父南征时，军队为楚国开拓疆土；如今这些人驻守湘水，保护的已有各自分得的田宅，也有他们亲手抬上伯位的主君。\n\n熊立辉将诸子派往新占之地，本意是让宗亲制衡附近诸侯与地方豪强。南海战事之后，熊方牍屯兵长沙，熊方案屯兵衡阳，两人凭麾下重兵向父亲求封。先公终于让步，许他们各自为伯，所求的回报是日后辅佐长子熊方策，勿使兄弟相争。这份承诺没有伴随收兵的命令，伯爵的印信因而同将军的兵符一并留在了长沙。\n\n1438年，群舒传来熊立辉死于江上的消息。新公在荆州承位，别处的兄弟也开始凭驻军索取封号。长沙不必再证明自己为何应有一国，却须面对另一件事：当年答应父亲的辅佐，究竟要交出多少人马、钱粮，才算兑现。对荆州而言，长沙兵出自楚军；对这些将士而言，俸粮早已从湘地田亩中支取。\n\n熊方牍还不能只顾北面的宗亲。南征留下的边界隔开了许多旧有往来，被征服的地方未必愿意长久供养外来的军官，南海也没有忘记失土。城中奉礼教、尊道家的人照旧讲休养生息，边营送来的却总是添饷与补员的请求。长沙伯没有确定的继承人，身后归属更使亲族与部将各有盘算。眼下，从荆州来的使者仍被以上宾相待；谈到调兵时，堂上便安静下来。"
 zhx_opening.302.a:0 "心不同兮媒劳。"
 zhx_opening.303.t:0 "衡岳南军"
 zhx_opening.303.d:0 "从衡阳向南，军队曾沿着山路走向南海。归来时，士卒带回战利品，伤兵留在沿途村镇，将校则渐渐把军中的职掌变成了地方上的权势。熊方案驻军于此，最初奉父亲之命守护楚国南面的新土，后来却同长沙的熊方牍一道，要求在自己统兵的地方取得伯位。\n\n熊立辉答应封赏，也留下了辅佐太子、不可兄弟争权的叮嘱。衡国因此成为楚国的封邑，熊方案既是伯主，仍是荆州大公的宗亲与臣属。只是在南方军营里，将士所熟悉的是带他们翻过山岭、分给他们粮饷的人；遥远朝会上的长幼次序，并不能代替眼前的军令。\n\n先公1438年东征身死后，这份距离变得更难弥合。熊方策急于稳住诸弟，承认各处封邑，衡阳的军队得以继续留在原地。熊方案没有因此向楚室正式决裂，也无意轻易交出兵符。若奉召北上，留在湘南的田宅与边防由谁照管；若一再留兵不发，衡伯的名分又还能替他挡住多少责问，都是迟早要当面讲清的事。\n\n衡岳下的村落已经厌倦征役。老兵盼着把荒地种熟，新附的乡民则希望官府承认旧有田界，不再把每次索粮都算作行军权宜。熊方案擅长号令军阵，却还须使军营之外的人也愿意供养这个伯国。与长沙相通的旧情可以替他壮声势，也可能让两位伯主一同受疑。衡阳府中，南方守军的急报与荆州的来书摆在同一张案上，等着同一个人答复。"
 zhx_opening.303.a:0 "令沅湘兮无波，使江水兮安流。"
 zhx_opening.304.t:0 "兴国留兵"
 zhx_opening.304.d:0 "兴国最初等来的是撤回的军队。1438年，熊立辉在东征群舒时中计身死，原本向同一处进发的将士失去了共同的号令。熊方劵将自己的人马留在兴国，军帐没有收起，临时征用的仓廒也没有交还。荆州新公遣人询问归期，得到的却是请封的意思。\n\n长沙与衡阳早已证明，握在手里的兵可以换来伯爵的名分。熊方策无力同时追究诸弟，终于承认州伯国。对熊方劵而言，这使他不必再以等待军令为由长久屯驻；对兴国百姓而言，则意味着本该随战事结束离去的军队，将在这里继续征粮、断讼，决定谁家的田亩应交多少赋。\n\n州国同荆州共奉熊氏祖先，也尊礼教、重道家。只是新立的伯国没有一套早已稳固的君臣关系。随军而来的将校以旧日功劳求取田产，当地豪强则拿出宗谱与旧契，要求保全家业。两边都能帮熊方劵把命令传到乡里，两边也都希望伯主只听自己的话。若仍以行军时的办法征发，春耕会误；若急着安抚乡民，麾下将士又会问，追随公子所得究竟何在。\n\n熊方劵需要让兴国成为能长久立足的封土，才能在下一次荆州问罪或诸伯争执时有所凭借。他的伯位来自一次仓促妥协，仍属于楚国，却已经有人盼望这份妥协永远延续。每年收来的田赋开始有了固定去处，先前借住的军帐旁也盖起了房屋。远征留下的兵，正在兴国成家。"
 zhx_opening.304.a:0 "深固难徙，更壹志兮。"
 zhx_opening.305.t:0 "荆门近阙"
 zhx_opening.305.d:0 "荆州的消息到荆门，往往比到其他封邑更快。楚公要宴请宗亲，权伯不能轻易托词路远；朝中议论收兵削藩，荆门的将校也很快会在席间听见。熊方轴守着这一处靠近宗国腹地的封土，所得的便利与危险，都来自同一段不够长的路。\n\n熊立辉在世时，诸子统兵为楚室拓地。长沙、衡阳先后求得伯位，其他王子便也看到了以军权立国的可能。1438年东征群舒，先公死于杨士奇之计，熊方轴退驻荆门，拒绝轻易接受荆州的约束。新公熊方策尚不能收拾诸弟，只得给出封号，承认权伯统领此地。权国于是留下楚臣的名分，也留下了自己可以发令的军队。\n\n这份安排并不牢靠。荆门能护卫荆州，也能使荆州寝食难安；权伯若与外人交好，兄长很难只把它看作寻常往来。可若事事听命，熊方轴又恐怕自己成为诸伯之中第一个被收回兵符的人。别国封君可以凭山河阻隔拖延来使，权国须在一次次亲自出席的朝会中，把推辞说得足够周全。\n\n宗亲共祭时，礼官仍依长幼排定席位。祭礼过后，各伯带回的却是只在本国生效的命令。熊方轴尚无确定的继承人，荆门诸将因而尤其在意伯位能否长久保全；城外耕户则更希望附近不再集结军队。熊方策曾在汉阳击败鄂伯，证明他并非不能用兵。消息传到荆门，向荆州庆贺的礼物很快备齐，守门的军士却又被仔细点过一遍。"
 zhx_opening.305.a:0 "君可思而不可恃。"
 zhx_opening.306.t:0 "江右称公"
 zhx_opening.306.d:0 "安成的田册还记着临川旧主的赋例，城中发出的命令却已署上熊氏的名。楚军夺取这片土地后，熊立辉的二弟熊立冯将其握在手里。对于临川，这是尚未收回的失土；对于荆州，这是楚国征战所得；对于熊立冯，它首先是自己可以点兵、支粮而不必等人裁可的地方。\n\n熊立辉1438年东征群舒身死，继位的熊方策要同时安抚数位拥兵的兄弟。身在江右的叔父因而更有余地抗拒荆州的命令。熊立冯看着侄辈纷纷取得伯位，并不觉得自己多年领兵的资历应当低于他们；伯国的名分可以对外使用，府中谈起往后之事，却已经有人以大公相称。\n\n这份僭称尚不能替代荆州的冠冕。安成离楚国腹地远，便于避开宗主的直接干预，也意味着真有外敌压境时，不能指望援军立刻抵达。临川汤氏仍向周室申诉，地方旧族也没有因换了旗号便忘记原来的关系。熊立冯若想把这里作为争取更高地位的本钱，必须先让收粮的官吏走得出城门，让跟随自己的人相信子孙还能留在此地。\n\n继承人熊万弥将接过怎样的家业，同样没有定数。是受楚公节制的一处伯国，还是足以另立门户的熊氏一支，父子所需经营的道路并不相同。荆州传来的法令可以暂缓执行，田亩、军饷与邻国的怨恨却不能搁置。熊立冯在府中听人称公时，城外仍有人把安成叫作临川故地。伯主的尊号再高，也还没有让那些旧称从乡人口中消失。"
 zhx_opening.306.a:0 "吾方高驰而不顾。"
 zhx_opening.307.t:0 "楚长之囚"
