l_english:
 # 王命术语总覆盖：仅覆盖中华帝国机制语境；DLC 商品名与历史专名不纳入本文件。
 # 00_lanfang_l_english.yml
 china_events.55.d.not_emperor_but_I_am:0 "[empire_of_china.GetAdjective][empire_of_china.Monarch.GetTitle]，曾经的中国皇帝，[empire_of_china.Monarch.GetName]如今蜷缩在他残余的领地里，十分虚弱且缺乏支持。从南到北，中国百姓无人不质疑他的统治，连平日无比忠诚的官员们也公开宣布[empire_of_china.Monarch.GetName]已经失去王命而[Root.Monarch.GetTitle][Root.Monarch.GetName]才是他们的合法统治者。\n[chinese_border_province.GetName]的那些不安分的[chinese_border_province.Culture.GetName]地方官开始与[Root.Monarch.GetName]接触，请求我们结束[empire_of_china.Monarch.Dynasty.GetName]氏王朝的统治，把他们从[empire_of_china.GetName]政府的压迫下解救出来。"
 # leviathan_l_english.yml
 custom_imperial_mandate:0 "王命所归"
 # manchu_l_english.yml
 mch_mandate_of_heaven_title:0 "王命"
 mch_mandate_of_heaven_desc:0 "随着北京为我们所控，是时候宣称王命了。我们将在中国建立一个新王朝，它将千秋万代！"
 mch_burma_campaign_desc:0 "截至目前，越来越多的明朝遗忠正逃往缅甸，在缅族与掸族的土司们那里寻求庇护。我们必须告诉他们，在王命所归的王朝面前，他们无处可逃。"
 mch_missions.3.d:0 "中国正在被饥荒和叛乱所困扰，很明显，明朝已经失去了王命，新的势力即将取代她。成千上万名不满低薪和恶劣待遇的明军士兵宣誓效忠于[Root.GetName]，他们希望我们能够让这片土地恢复和平与稳定，并且给他们足够的粮饷。我们将他们编入了绿营。希望他们能够在和自己同胞的战斗中取得良好的战果。"
 ming_crisis_desc:0 "因为内部斗争，明王朝正在崩溃。他们面临着失去王命的风险。"
 ming_crisis.1.d:0 "大明正在面临可怕的危机。[Root.Monarch.Dynasty.GetName]家皇室没能遵循王命、统治天下，不再享有上天给予的庇佑和盛名。经年的管理不善和无尽的冲突已形成了痼疾，侵染了整个中华大地，人民的不满正迅速蔓延。一时间，天下汹汹，四处揭竿斩木。《诗》有之：「无念尔祖，聿修厥德」，我们必须感怀先祖、修养德行；毕竟，「宜鉴于殷，骏命不易」，永保王命绝非易事！"
 ming_crisis.2.t:0 "王命得到恢复"
 ming_crisis.2.d:0 "我们成功重获人民信任，不再有人怀疑我们是否有权拥有王命。我们必须以史为鉴，通过反省我们陷入危机的错误政策提升自身的水平、向尧舜之道迈进，避免重蹈覆辙。"
 ming_crisis.3.d:0 "北方沦陷！农民军首领李自成将许多叛军与流寇纳入麾下，控制了帝国的广大地区，面积之大极为惊人。他僭号称帝，宣称自己是王命所归，在都城宣告建立大顺王朝，并许诺顺应天意，恢复旧礼。"
 mongols_restore_yuan_desc:0 "我们被揭竿而起的明军逐出中原，失去了王命。我们必须重铸忽必烈汗的帝国，取回王命！"
 flavor_oir.4.d:0 "皇帝北狩已久，鞑虏迟迟不肯归还。王命不可有违，帝位不得虚悬——懿旨已下，[Root.Heir.GetName]须即刻正位。"
 flavor_oir.4.d2:0 "皇帝北狩已久，鞑虏迟迟不肯归还。王命不可有违，帝位不得虚悬——懿旨已下，[Root.Monarch.Dynasty.GetName]家宗室须另择新君承续大统。"
 JAP_emperor_of_china_title:0 "帝国王命"
 string_start_korea:1 "§Y朝鲜王朝§!，国号§Y大朝鲜国§!，于1392年在§Y蒙古§!与§Y明§!朝的劫灰中由将领§Y李成桂§!（后称§Y太祖§!）发动政变建立。朝鲜与§Y中国明朝§!的联系从建国伊始就非常紧密：在为新的王国拟定国号时，太祖向大明上奏了「和宁」和「朝鲜」两个选择，并在天子的圈定下选择了后者。\n\n与§Y中国明朝§!的紧密联系一直持续到了17世纪中叶明朝灭亡——朝鲜在这一关系中的从属地位也一并结束。作为§Y儒教§!的追随者，朝鲜视中国为朝鲜世界的中心，而朝鲜自身在某些方面甚至比中国更加中国化——称之为「小中华」。在他们看来，中国视朝鲜王朝为「东方礼仪之邦」。只要明朝仍然§Y王命§!所归，维持这一坚固的纽带对新生的朝鲜王朝的生存而言至关重要。\n\n§Y朝鲜王朝§!统治百年以来成就颇丰。15世纪初，朝鲜从§Y女真§!手中夺取了边疆的§Y镜城§!和§Y六镇§!，统一了今日的朝鲜地区。学术与思潮也在蓬勃发展。特别是1446年推行了谚文。相比起汉字，谚文的设计既易于学习也更适合朝鲜语，使得朝鲜语的使用更为便利，让更广大的社会阶层得以阅读学术文本。农业、火药与法律编纂等领域取得了显著进展，并且大力地开展地理调查与记录。\n\n然而，朝鲜王朝内外依旧存在着威胁。在国内，朝鲜的农民仍然处于贫困之中，如果不采取措施予以改善，§Y农民起义§!和税收不足就都有可能成为问题。此外，§Y两班贵族§!尽管在很大程度上保持团结一致，但其上的裂痕已然开始显现，随时都有可能爆发§Y派系纷争§!。\n\n外部的威胁也不少。北方徘徊着好战的§Y女真§!族——尽管他们现在处于分裂之中，一旦他们被强大的领袖所统一，入侵朝鲜的行动可能很快就会发生。同样，东海对岸的§Y日本§!，§Y大名§!与未来的§Y幕府将军§!相互敌对。朝鲜必须保持警惕，以防止统一的日本将势力跨过狭窄的朝鲜海峡。最后，虽然朝鲜处在§Y明帝国§!的庇荫之下，但朝鲜国君要是唤醒了巨龙，那可就大祸临头了！"
 waging_war_for_china:0 "王命之战"
 ming_crisis.8.d:0 "随着将王命丢给了[emperor_of_china.GetUsableName]，我们王朝的部分压力随之消退了。即便前方仍有重重挑战，我们可以将统治中华帝国的毒酒杯送给[emperor_of_china.GetAdjective]朝[emperor_of_china.Monarch.GetTitle]。"
 ming_crisis.9.d:0 "[From.GetAdjective]朝皇帝失去了对北方的控制。农民领袖李自成聚起了大批叛军和流寇，并控制了[CSH.Capital.GetCapitalName]，在此建号称帝。[From.GetAdjective]朝危机的浮现正给我们带来了一个绝佳的机会，我们可以借机掌控中国北方，而且如果一切顺利、时机成熟的话，这更将成为我们宣称王命的舞台。"
 shun_claim_to_the_mandate:0 "王命所归"
 shun_claim_to_the_mandate_desc:0 "虽然我们的王朝起源卑微，但通过我们的能力与正义，我们赢得了贵族和平民的支持。我们现在被视为王命的强力宣称者，即一个统治中华大地的正统王朝。"
 # mandala_missions_l_english.yml
 mnd_siam_take_the_mandate_title:0 "夺取王命"
 mnd_siam_take_the_mandate_desc:0 "中国皇帝以拥有王命为荣。"
 siam_mandate_modifier:0 "暹罗王命"
 desc_siam_mandate_modifier:0 "我们已经夺取了王命，使得我们成为了中国的合法统治者。"
 mnd_khm_take_the_mandate_title:0 "夺取王命"
 mnd_khm_take_the_mandate_desc:0 "如果我们能夺取王命就能证明统治中国的合法性。"
 mnd_dai_mandate_of_heaven_title:0 "宣称王命"
 mnd_dai_mandate_of_heaven_desc:0 "天行有常，神器难持，明失其鹿，有德代序。神龟化龙，王命攸归。"
 # mandate_of_heaven_l_english.yml
 REFUSED_CALL_FROM_TRIBUTARY_PENALTY:0 "如果我们拒绝，我们将会失去 $MANDATE|R$ 王命。"
 celestial_empire_events.1.d:1 "随着[From.Capital.GetCapitalName]的沦陷，中华帝国的最后残部已被粉碎。王命与古老的儒家统治，现均已被视为废弃的观念；曾作为上等人的士绅不得不转为其他阶级，否则就将消亡于世间。\n尽管帝国的往事依然会在未来的某时被人缅怀，但[Root.GetName][Root.GovernmentName]将作为末代[From.Monarch.GetTitle]的毁灭者将被永世铭记。"
 celestial_empire_events.2.d:0 "在继承中华帝国之后，我们已经开始与其古老传统打交道。[Root.GetName]承接了许多与儒家哲学密切相关的制度，例如科举和王命观念。\n作为新朝，某种程度上我们希望将此意识形态与自身思想相整合，但改信儒家哲学很可能有助于统治我们现在宣称的庞大帝国，并强化我们在治下民心中受命于天的形象。"
 empire_of_china_in_name.1.d:0 "作为全新的中华帝国，我们虽然在总体上得到了承认，却还未赢得中国人的尊敬。我们对异国人、甚至是野蛮人的极大依赖使得军队和行政部门对我们王朝的王命提出了质疑。\n除非我们采取措施化身真正的中华帝国，否则我们将永远只是名义上的帝国，并将显现出失去王命的眷顾。"
 empire_of_china_in_name.2.d:0 "我们将中国人整合到现在统治他们的国家中的努力如今已开花结果。我们对王命的宣称不再因缺乏与人民自身的联系而受到质疑。就像几个世纪以来入主中原的许多外国征服者一样，我们的帝国可能永远不会被视为中华起源，但它却是真真正正的中华帝国。"
 empire_of_china_nomadic_border_events.1.d:0 "在历史上，边境上的强大游牧部落一直是中华帝国的威胁。随着边境上另一个强大游牧部落的崛起，我们的子民开始怀疑我们是否能够保护他们。连游牧部落都控制不住的[Root.Monarch.GetTitle]真的拥有王命的眷顾吗？\n只有时间能够说明一切。"
 desc_empire_of_china_nomadic_border:0 "我国边境上强大游牧部落的崛起，使我们引以为傲的王命蒙上了令人不快的阴影。若要国家繁荣昌盛，就必须实现游牧疆界的和平。"
 # new_missions_l_english.yml
 mandate_of_heaven_mission_title:0 "王命"
 tau_dragon_throne_desc:1 "我们必须成为世界上最伟大的帝国。即使是强大的中国必须服从我们的统治。我们将要夺取王命，建立中国的新王朝。"
 tib_emperor_of_china_desc:0 "中国，这条巨龙不怀好意地飞行在青藏高原上空。我们必须确保中华帝国不可以强到威胁我们这一新兴势力。如果有必要，我们甚至或许可以从他们那里夺取王命！"
 tau_dragon_throne_fake_mandate:0 "获得§G10.00§!王命。"
 # powers_and_ideas_l_english.yml
 thuan_thien_desc:0 "顺天，即顺应天意，是我们的解放者黎利所持的传奇宝剑的名字。当他挥舞着这把宝剑时，这剑使他拥有千夫之力，以最终挣脱中国人统治的枷锁。黎利被视为理想儒家领袖的完美化身：公正、明智、有才。黎利之后的每位皇帝都会被与之对比，然无有能出其右者。我们的帝王们努力实现儒家统治的理想，并在困难重重下完成，以不辜负我们先祖的遗产。通过在我们的政府中深入贯彻儒家准则，并通过遵循儒家的所有得当仪式以确保天下和谐，我们充分维持住了王命。因此，没有任何竞争对手可以挑战我们的统治，因为我们已经充分证明了我们的合法性。"
 son_of_heaven_desc:0 "我们的皇帝是上天之子，他手握王命；我们宣扬皇帝的尊贵地位，人民对此也深信不疑。"
 # startup_screen_l_english.yml
 string_start_great_ming:2 "大§Y明§!帝国发端于§Y蒙§!§Y元§!王朝的崩溃，以及14世纪中叶袭扰中国的动乱与纷争。乱世之中，大明诞生为中华大地上最强大的势力，消灭他们同为汉人的对手，将§Y忽必烈汗§!的子孙赶出长城。开国八十年，大明已然稳坐东亚龙头宝座。\n\n尽管大明依旧繁荣，然而其国际影响在郑和的远航结束后便陷入衰退，新生国家也为帝国带来了崭新的挑战。在分裂的北方，游牧部族向渴望成为新蒙古大汗的§Y瓦剌§!首领§Y也先§!麾下聚集。先前明朝的外交手段至少阻止东北的§Y女真§!部族统一在一起，这归功于明朝煽动其部族内斗的政策。虽然躁动又不合的女真诸部似乎短期内不太可能成为威胁，也先率领的瓦剌部却很可能成为强大的敌手。\n\n明朝与南方诸国的关系多少要好一些。§Y大越§!二十年前才从明朝独立，并仍对北方的中国邻居保持着警惕。这一地区的其他国家对明朝的态度友好得多，但遍布该地区的山岳与丛林意味着明朝不过能从这些南部的王国手中得到一点象征性的贡品。\n\n明朝与§Y朝鲜§!半岛上的§Y朝鲜§!王朝关系最为紧密。明与朝鲜王朝都建立于大元的废墟之上。两国关系因共同信仰儒家哲学而变得更加紧密。\n\n明朝面临的麻烦并非都来自外部，§Y王命§!就是其中易变的一个，如果皇帝的权威摇摆不定，各地豪强便可能会揭竿而起。中国将难免陷入这样可怕的境地，但在15世纪，大明帝国仍然是东亚乃至世界上最强大的国家！"
 string_start_mongolia:2 "§Y成吉思汗§!的§Y蒙古帝国§!已然不复存在，她的继承者们退步到在各文明周边进行内战。昔日辉煌的§Y元§!王朝——§Y忽必烈汗§!的国度——已经被逐出§Y中原§!，带着耻辱撤回到草原上。尽管§Y蒙古§!仍然自称大元皇帝，然而§Y王命§!已然归附于反蒙的混乱浪潮中攫取了大权的§Y明§!王朝。\n\n如今蒙古汗王连统一草原都独力难支，甚至难以维持独立。蒙古大部分已经匍匐在§Y也先太师§!领导的§Y瓦剌部§!鞭下。也先野心勃勃，不向明朝纳贡，他甘愿为了霸权赌上一把，与明朝大军为敌。也先是一个不世出的军事天才，西半个蒙古因而接受他的冒进举动。\n\n§Y科尔沁§!部蒙古的§Y兀捏孛罗汗§!在东部打下了不小的版图。他亦有再次统一蒙古的雄心壮志，然而他的军队与才能更适合对付东方分裂的女真人，而难以抗衡团结一致的瓦剌大军。\n\n§Y东察合台汗国§!是蒙古帝国的继承者中最稳定的一个，但是这并不意味着它有更大希望崛起。§Y察合台人§!的控制范围在§Y天山§!以北，以及盘踞在塔里木盆地的§Y叶尔羌汗国§!。\n\n许多蒙古人改信§Y西藏§!的佛教宗派§Y金刚乘§!。在过去的几个世纪里这种宗教与传统蒙古§Y腾格里§!信仰和平共存，甚至在元朝时期一度受到鼓励。蒙古人必须谨慎考虑与§Y西藏§!的关系，决断如何处理宗教问题。\n\n每一位汗都梦想着统一蒙古，光复成吉思汗的大蒙古帝国。迄今为止，有所尝试的人都仅仅获得过短暂的成功。但是还有的是时间让一位新汗来面对这个挑战……"
 string_eoc_tributaries_desc:1 "[Root.start_tributaries_descriptions]\n£DLC_moh §Y中华帝国§!在方方面面都主导着东亚，这是一个囊括了全世界相当一部分人口的庞大国度。\n\n当朝皇帝的§Y王命§!值决定了中华帝国的正统性。帝国内§Y繁荣§!的直属州、维持高§Y稳定度§!以及保有大量的§Y朝贡国§!都会增加王命值。\n§Y荒废度§!、§Y腐败度§!、§Y贷款§!、§Y破产§!以及未持有关键省份则会降低王命值。\n\n低王命的皇帝会承受不利修正，遇到非常恶劣的事件。\n\n与帝国接壤的国家可以§Y发动王命战争§!，夺取中华帝国称号。"
 # text_l_english.yml
 the_mandate_of_heaven:0 "王命"
 desc_the_mandate_of_heaven:0 "正统的君王受命于天，王命可以使君主的统治合法化，并使那些反抗王命的人众叛亲离。"
 the_mandate_of_heaven_lost:0 "失去王命"
 TAKE_MANDATE_PO_LIST_TEXT:0 "宣称王命"
 TAKE_MANDATE_PO_TOOLTIP:0 "罢黜了妄称王命的$CURRENTHOLDER|Y$朝伪帝，成为新的天子！"
 TAKE_MANDATE_PO_NOT_EMPEROR:0 "$COUNTRYNAME$没有王命。"
 lost_mandate_of_heaven:0 "失去王命"
 positive_mandate:0 "高王命"
 negative_mandate:0 "低王命"
 CELESTIAL_DECISION_MINIMUM_TO_ENACT:0 "实施此项改革需要至少$MINVALUE|Y$王命值。"
 CELESTIAL_DECISION_NOT_ENOUGH_MANDATE:0 "这一改革决议花费$MANDATECOST|Y$王命，但是你只有$CURRENTMANDATE|Y$王命。"
 CELESTIAL_EMPEROR_BENEFIT_DESC:0 "－高王命值带来的加成。\n－使用贤能值机制。\n－可以通过集权化决议。\n－对中国地区的永久宣称。\n－获得统一中国的宣战理由。\n－强迫邻国成为你的朝贡国。"
 vassalize_tributaries_decision_tt:0 "中国皇帝可以花费王命值将朝贡国晋封为直接控制的附庸国。"
 vassalize_tributary_tooltip:0 "花费王命值将朝贡国提升为附庸国。"
 vassalize_tributary_desc:0 "§Y[From.GetName]§!将成为[Root.GetName]的直属§Y附庸国§!。这一行动将取消§Y[From.GetName]§!拥有的所有附属关系。\n\n这将花费§Y[From.GetName]总发展度40%§!的王命值。"
 HAS_MORE_MANDATE_THAN_TRIBUTARY_HAS_DEV:0 "拥有的王命值至少达到§Y[From.GetName]总发展度的40%§!"
 # tmm_l_english.yml
 WE_CONVERT_TRIBUTARY_TO_VASSAL_SETUP:0 "当我国消耗王命将朝贡国转变为附庸国。"
 WE_CONVERT_TRIBUTARY_TO_VASSAL_3:0 "消耗了$MANDATE|Y$王命值。"
 WE_CONVERT_TRIBUTARY_TO_VASSAL_LOG:0 "我们使用王命值将$RECIPIENT$转变成了附庸国。"
 CONVERT_TRIBUTARY_TO_VASSAL_SETUP:0 "当某国消耗王命将朝贡国转变为附庸国。"
 CONVERT_TRIBUTARY_TO_VASSAL_3:0 "消耗王命"
 OTHER_CONVERT_TRIBUTARY_TO_VASSAL_SETUP:0 "当某国消耗王命将另一国转变为附庸国。"
 OTHER_CONVERT_TRIBUTARY_TO_VASSAL_3:0 "消耗王命值将$RECIPIENT$转变成了附庸国。"
 OTHER_CONVERT_TRIBUTARY_TO_VASSAL_LOG:0 "$ACTOR$消耗王命将$RECIPIENT$转变成了附庸国。"
 CONVERT_TRIBUTARY_TO_VASSAL_CANNOT_NOT_ENOUGH_MANDATE:0 "你没有足够的$MANDATE$王命。"
 CONVERT_TRIBUTARY_TO_VASSAL_DESC2:0 "花费$MANDATE|Y$王命（$PERCENT|%$发展度）以将$COUNTRY|Y$从朝贡国转化为附庸国。"
 CONVERT_TRIBUTARY_TO_VASSAL_DESC:0 "我们将花费$MANDATE|Y$王命（$PERCENT|%$发展度）将$COUNTRY|Y$从朝贡国转化为附庸国。"
 # winds_of_change_l_english.yml
 SUN_china_title:0 "王命"
 sunset_invasion.8.d:0 "中国人尊崇着看似受命于天的皇帝。他们称之为王命。不过，他们的神性只会成为我们诸神的又一养分。在俘获了中国之龙——中国皇帝后，我们可以将其斩杀，并献其心脏给我们的诸神。"
 mongols_southern_china_desc:0 "我们被揭竿而起的明军逐出中原，失去了王命。我们必须重铸忽必烈汗的帝国，取回王命！"
 moghulistan_southern_china_desc:0 "我们被揭竿而起的明军逐出中原，失去了王命。我们必须重铸忽必烈汗的帝国，取回王命！"
 tatars_southern_china_desc:0 "我们被揭竿而起的明军逐出中原，失去了王命。我们必须重铸忽必烈汗的帝国，取回王命！"
 HORDES_MODIFY_INWARD_PERFECTION_PRIVILEGE:0 "教士阶层特权§Y内圣之道§!将给予下列修正，随阶层影响力变化：\n  国家叛乱度：§G-2.00§!\n  王命增长修正：§G+0.10§!\n  改革进度增长：§G+20.0%§!"
 FourClassPrivilegeEoC:0 "王命增长修正：§G+0.05§!"
