l_english:
 zhx_chu_divided_6:0 "六伯分权"
 zhx_chu_rules_tt:0 "当前全部直属附庸均计数（包括新收属国与卫戍国，不计朝贡国）。6个及以上：全国税收、人力恢复速度、省份贸易竞争力各§R-30%§!；5个各§R-20%§!；4个各§R-10%§!；3个及以下解除，数量增加会恢复。吞并沿用普通外交规则，主动释放也可减轻危机。\n开局君主死亡、退位或被替换时检查一次：3个及以下安全结束；4个及以上自动提交365天天下公议，忙时排队，无需天子批准。赞同独立票严格多于反对票则全部现有附庸独立；否则保留附庸，但结算时现有附庸独立倾向§R+50§!个百分点，持续§Y20年§!。"
 zhx_chu.3.t:0 "旧约无主"
 zhx_chu.3.d:0 "方策交出了楚公的印信。荆州向各封国发出新君承统的文书，有使者照旧奉上贺仪，也有人带来另封奏牍，要求重议当年的统属。\n\n诸伯所据的理由并不相同。熊氏宗亲提起先公许封时留下的承诺，外姓封君则翻出保存旧国的册命；共同的一条，是封土既能自守，便应直接奉周，不必世世经由荆州受命。新君坚持旧约随国统相承，不能因一人离任而尽废。\n\n这些文书已送往天下公议。朝臣仍可趁议事未决时收回封土或许国自立，却不能再把已经公之于众的争执收回宫中。"
 zhx_chu.3.a:0 "将楚国的答书一并送去。"
 zhx_chu_locked_tt:0 "楚封离议已锁定。公议忙碌时排队，空闲后自动开议；即使附庸降至3个或以下也不会撤销。三项开局减益仍按当前附庸数量调整。"
 zhx_chu.10.t:0 "天下公议：楚封离议"
 zhx_chu.10.d:0 "楚公方策离任，诸封国的统属成为天下议题。荆州以历代征服与册封为据，主张新君仍有征调诸伯之权；请议者则称，先前的承诺出于一时安定，如今既各有国土、兵民，便应直接奉周。\n\n送到各国案前的议书，只问是否解除楚国对现有附庸的统属。赞同者未必愿见荆楚再起兵戈，反对者也未必认同楚室历次扩张；有人顾虑本国宗亲援例，有人只盼江汉少一个能同时调动诸军的宗主。\n\n诸侯各录一票。楚国和仍有天下席位的附庸同样可以陈明立场，天子不另投票。议期一年，期间可以改票。"
 zhx_chu.vote_yes:0 "许诸国自立，直接奉周。"
 zhx_chu.vote_no:0 "楚国旧有统属仍当保留。"
 zhx_chu.vote_abstain:0 "本国暂不置议。"
 zhx_chu_ballot_tt:0 "§Y赞同§!指赞同附庸独立。365天届满，赞同严格多于反对则楚国结算时全部现有附庸独立；平票或反对更多则保留附庸，结算时现有附庸独立倾向§R+50§!个百分点，持续20年。可在天下公议界面改票。"
 zhx_chu.20.t:0 "各奉周命"
 zhx_chu.20.d:0 "最后一份议票录入后，赞同解除楚国统属的诸侯占了上风。公议文书送到荆州，也分别送往仍受楚国节制的封君处，许他们自理国事，直接奉周。\n\n公室留存的兵粮簿开始划去旧项。有些军队仍在熟悉的江岸驻守，仓中的粮也没有一夜搬走，今后征用它们却须另遣使者商议。新君不再为诸伯各执一端的朝议所困，能够直接号令的地方也随之缩小。\n\n礼官来问下次朝会该留几张席案。掌簿的官员没有照抄旧例，先将各国使节的名字另立了一页。"
 zhx_chu.20.a:0 "按公议改录国书。"
 zhx_chu_independent_tt:0 "结算时全部现有附庸已经独立。楚国开局危机结束，三项开局减益清除；没有额外奖惩。"
 zhx_chu.21.t:0 "使节自本国出发"
 zhx_chu.21.d:0 "天下公议准许楚国诸附庸自立。本国收到的文书不再经由荆州转授，今后兵粮、往来与征战都由本国自行决定。\n\n府中留下了往年奉楚的簿册。新来的使者仍会问起那些旧约，边境的驻军也仍须供养；自由并未替封君添一座粮仓，却使最后的印信终于只须盖在自己的案上。"
 zhx_chu.21.a:0 "遣使告知四邻。"
 zhx_chu.22.t:0 "留席未必同心"
 zhx_chu.22.d:0 "主张解除楚国统属的议票未能压过反对。公议保留了荆州的宗主名分，诸封国仍须奉楚，新君终于可以用天下承认的国书答复请议者。\n\n回朝的使节照旧按席次入座。有人承诺按期输赋，有人只应下归国传诏；谈及出兵，堂上又出现了方策在位时熟悉的停顿。曾经递交独立奏牍的人不会因一次表决忘记旧怨，未曾赞同自立的封君也看见了荆州需要多少外援才能保住统属。\n\n新君收起裁决，命人重新整理征调文书。名分已经留下，接下来的二十年，仍须让各国肯把纸上的数目送到江陵。"
 zhx_chu.22.a:0 "先将新约送往各国。"
 zhx_chu_retained_tt:0 "附庸关系保留，原开局减益清除。结算时现有附庸获得20年的旧议记忆，仍为楚国附庸时独立倾向§R+50§!个百分点；以后新收附庸不追加。"
 zhx_chu.23.t:0 "仍列楚庭"
 zhx_chu.23.d:0 "天下没有通过解除楚国统属的议案。本国仍列楚公朝会，新君的使者带着裁决前来，要求照旧履行封国的义务。\n\n奏牍可以收回，军中已经听过的话却收不回去。议事时公开过的争执留在将校与臣属心中，荆州此后每次征发，都要再面对一次旧账。"
 zhx_chu.23.a:0 "留下国书，再议兵粮。"
 zhx_chu_memory_tt:0 "旧议记忆持续20年；本国仍为楚国附庸时独立倾向§R+50§!个百分点。独立或转属他国期间不生效，重新臣服楚国只恢复原期限内的效果。"
 zhx_chu.24.t:0 "可交付的国政"
 zhx_chu.24.d:0 "方策离任时，仍受楚国统属的封国已不多于三。朝臣重新核过各处兵粮，留下的封君已不足以把继承之议推向天下。\n\n归入公室的土地须另置官吏，已经许其自立的国家也要另修国书。新君接过这些尚待办理的事务，同时接过了一份比旧日清楚的疆土簿：哪些地方可以直接征调，哪些须以邻国相待，不必再等诸伯同席才能说定。"
 zhx_chu.24.a:0 "依新簿理政。"
 zhx_chu_safe_tt:0 "开局君主离任时附庸不多于3个，危机安全结束。原开局减益永久清除，不触发天下事变，也没有额外奖励。"
 zhx_chu_opening_button_tt:0 "§Y楚国开局危机：六伯分权§!\n方策留下诸伯的印信，才换得一时安定；印信若始终收不回来，继位者便须让天下评断楚国还能号令谁。收回封土或许国自立，都能减轻荆州的负担。\n\n当前全部直属附庸计数，新收属国也计入，不计朝贡国。6个及以上，全国税收、人力恢复速度、省份贸易竞争力各§R-30%§!；5个各§R-20%§!；4个各§R-10%§!；3个及以下解除。\n开局君主离任时，3个及以下安全结束；4个及以上自动提交天下公议。排队后开议365天，触发即不撤销。赞同独立票多于反对票，全部现有附庸独立；否则保留附庸，但结算时现有附庸独立倾向§R+50§!个百分点，持续§Y20年§!。两种结局均清除原开局减益。"
