l_english:
 zhx_ritual_authority:0 "礼乐值"
 zhx_system.21.d:0 "周室因礼统衰微而召集列国公议。诸侯可以赞同重申王命、反对王室干预，或暂时弃权。公议持续约一年；在期满之前，人类玩家可以通过国家决议改变本国立场。只有赞同票严格多于反对票，王命才能重新获得支持。"
 zhx_system.21.a:0 "赞同重申王命"
 zhx_system.21.a.tt:0 "本国投下§G赞同票§!；若此前已经表态，旧票会被替换。"
 zhx_system.21.b:0 "暂且弃权"
 zhx_system.21.b.tt:0 "本国§Y弃权§!；此前的赞同票或反对票会被撤回。"
 zhx_system.21.c:0 "反对王室干预"
 zhx_system.21.c.tt:0 "本国投下§R反对票§!；若此前已经表态，旧票会被替换。"
 zhx_system.22.t:0 "公议之果"
 zhx_system.22.d.success:0 "一年公议期已经结束。赞同者多于反对者，列国使节的响应足以让盟誓重新具有分量。天下仍未恢复旧日秩序，但王命不再只是空言。\n\n赞同：§G[CZH.zhx_council_vote_a_count.GetValue]§!　反对：§R[CZH.zhx_council_vote_b_count.GetValue]§!"
 zhx_system.22.d.failure:0 "一年公议期已经结束。赞同者未能超过反对者，公议不但未能修复盟誓，反而让周室的衰弱暴露于天下。平票同样视为王命未获列国支持。\n\n赞同：§G[CZH.zhx_council_vote_a_count.GetValue]§!　反对：§R[CZH.zhx_council_vote_b_count.GetValue]§!"
 zhx_system.22.a:0 "盟誓尚可维系"
 zhx_system.22.b:0 "礼失而求诸野"
 zhx_system.22.a.tt:0 "获得§G10§!威望，礼乐值§G+10§!；本次天下事变进入五年冷却。"
 zhx_system.22.b.tt:0 "失去§R10§!威望，礼乐值§R-5§!；本次天下事变进入五年冷却。"
 zhx_system.23.t:0 "天下公议期限"
 zhx_system.23.d:0 "本届公议期限已至，现按最终票盘分派结算。"
 zhx_open_tianxia_overview_title:0 "打开周天下总览"
 zhx_open_tianxia_overview_desc:0 "打开周天下专属界面，查看当前天子、诸侯名册、礼乐阶段、天下事变与改革。此入口只读取状态，不会暂停或改变周天下演算。"
 zhx_open_tianxia_overview_tt:0 "打开§Y周天下总览§!并刷新诸侯名册。"
 zhx_gui_close_button_tt:0 "关闭周天下界面"
 zhx_tianxia_open_button_tt:0 "打开周天下界面\n§g未奉周国家只能查看公开信息；周天下成员可按身份参与公议与盟约。§!"
 zhx_view_tianxia_extent_title:0 "查看周天下版图"
 zhx_view_tianxia_extent_desc:0 "凡已探知中国或远东的国家，均可通过此入口观察当前天子及诸侯控制的全部疆域。将鼠标悬停在该决议上，周天下所属省份便会在地图上高亮。"
 zhx_view_tianxia_extent_read_only_tt:0 "这是一个只读版图查看入口。将鼠标悬停在决议上即可高亮周天下疆域。"
 zhx_convene_grand_court_title:0 "召开开封大朝会"
 zhx_convene_grand_court_desc:0 "耗费§Y100§!¤与§Y50§!外交点，召集诸侯重申礼典，使§Y礼乐值提高10点§!。天子必须处于和平、稳定非负，且每五年只能举行一次。"
 zhx_convene_grand_court_effect_tt:0 "花费§R100§!¤与§R50§!外交点，使礼乐值§G+10§!；五年内不能再次召开大朝会。"
 zhx_reaffirm_the_covenant_title:0 "重申成周盟书"
 zhx_reaffirm_the_covenant_desc:0 "这是周天下的第一项原型盟约改革。天子在和平且稳定至少为1时，可耗费§Y50礼乐值§!重申盟书，为所有现有及未来成员提供永久共同修正。需要至少§Y50礼乐值§!。"
 zhx_reaffirm_the_covenant_effect_tt:0 "消耗§R50§!礼乐值，使所有周天下成员永久获得§Y重申成周盟书§!修正。"
 zhx_debug_increase_ritual_harmony_title:0 "§T调试：礼乐值 +10§!"
 zhx_debug_increase_ritual_harmony_desc:0 "开发测试工具，仅玩家可见。使周天下礼乐值提高10点，最高钳制为100，并立刷新GUI文字与共同修正。"
 zhx_debug_decrease_ritual_harmony_title:0 "§T调试：礼乐值 -10§!"
 zhx_debug_decrease_ritual_harmony_desc:0 "开发测试工具，仅玩家可见。使周天下礼乐值降低10点，最低钳制为-100，并立刷新GUI文字与共同修正。"
 zhx_debug_run_yearly_ritual_tick_title:0 "§T调试：结算年度礼乐§!"
 zhx_debug_run_yearly_ritual_tick_desc:0 "开发测试工具，仅玩家可见。立即执行一次完整的周天下年度礼乐结算，用于检验和平、诸侯内战、天子政局、厌战与首都控制等条件。"
 zhx_ritual_order_ordered:0 "纲常有序"
 zhx_ritual_order_stable:0 "礼制稳固"
 zhx_ritual_order_balanced:0 "礼乐相持"
 zhx_ritual_order_fractured:0 "礼教废弛"
 zhx_ritual_order_collapsed:0 "礼崩乐坏"
 zhx_reaffirmed_covenant_modifier:0 "重申成周盟书"
 zhx_grand_court_cooldown:0 "大朝会筹备期"
 zhx_ritual_breakdown_incident_cooldown:0 "王命不行事变余波"
 zhx_incident_supporter_modifier:0 "响应列国公议"
 zhx_incident_opportunist_modifier:0 "乘礼崩而整军"

 # 由常驻决议打开的诸夏专属界面；右下角天命入口保留原版用途。
 ZHX_GUI_TITLE:0 "诸夏王会"
 ZHX_GUI_TIANZI_HEADER:0 "天子与礼乐"
 ZHX_GUI_AUTHORITY_EXPLANATION:0 "正值重礼治，负值重军争。"
 ZHX_GUI_ORDER_HEADER:0 "天下秩序"
 ZHX_GUI_MEMBERS_HEADER:0 "列国名册"
 ZHX_GUI_MEMBERS_EXPLANATION:0 "诸侯是独立成员，并非天子的普通附庸。"
 ZHX_GUI_COUNCIL_HEADER:0 "天下公议"
 ZHX_GUI_COUNCIL_DESCRIPTION:0 "天下事变会先经历列国议论，期限结束后才结算结果。"
 ZHX_GUI_COUNCIL_FOOTER:0 "诸侯可在公议期内通过国家决议改变本国投票。"
 ZHX_GUI_INCIDENT_HEADER:0 "天下事变"
 ZHX_GUI_INCIDENT_DESCRIPTION:0 "天下事变会先经历列国议论，期限结束后才结算结果。"
 ZHX_GUI_INCIDENT_FOOTER:0 "诸侯可在公议期内通过国家决议改变本国投票。"
 ZHX_GUI_REFORM_HEADER:0 "盟约改革"
 ZHX_GUI_REFORM_DESCRIPTION:0 "天子可在和平且稳定时，以礼乐值重申成周盟书；具体条件仍由国家决议执行。"
 ZHX_GUI_ROSTER_HEADER:0 "奉周诸侯 · 动态名册"
 ZHX_GUI_OVERVIEW_BUTTON:0 "详细总览"

 zhx_gui_tianzi_name:0 "§Y[CZH.GetName]§!"
 zhx_gui_authority_value:0 "礼乐：§Y[CZH.zhx_ritual_authority.GetValue]§!（-100至100）"
 zhx_gui_member_count:0 "奉周列国：§Y[CZH.zhx_member_count_cache.GetValue]§!"
 zhx_gui_player_merit:0 "本国盟功：§Y[Root.zhx_merit.GetValue]§!"
 zhx_gui_player_tianzi:0 "本国身份：§Y天子§!"
 zhx_gui_player_observer:0 "本国身份：§g观礼者§!"

 zhx_gui_order_ordered:0 "§G纲常有序§!"
 zhx_gui_order_stable:0 "§G礼制稳固§!"
 zhx_gui_order_balanced:0 "§Y礼乐相持§!"
 zhx_gui_order_fractured:0 "§O礼教废弛§!"
 zhx_gui_order_collapsed:0 "§R礼崩乐坏§!"
 zhx_gui_effect_ordered:0 "§G税收与生产 +10%§!；§RAE +25%§!"
 zhx_gui_effect_stable:0 "§G税收与生产 +5%§!；§OAE +15%§!"
 zhx_gui_effect_balanced:0 "§Y民生 +2%§!；§G训练度 +1%§!；§OAE +5%§!"
 zhx_gui_effect_fractured:0 "§R税收与生产 -5%§!；§G训练度 +2.5%、省份战分花费 -7.5%§!"
 zhx_gui_effect_collapsed:0 "§R民生 -10%、动乱与荒废上升§!；§G训练度 +5%、省份战分花费 -15%§!"

 zhx_gui_council_ritual:0 "§O王命不行§!"
 zhx_gui_council_idle:0 "§G天下无事§!"
 zhx_gui_council_ritual_description:0 "赞同 §G[CZH.zhx_council_vote_a_count.GetValue]§!　反对 §R[CZH.zhx_council_vote_b_count.GetValue]§!　弃权 §Y[CZH.zhx_council_vote_c_count.GetValue]§!"
 zhx_gui_council_idle_description:0 "当前没有正在议论的天下事变。礼乐值跌破门槛时，新的事变可能由年度结算触发。"
 zhx_gui_council_vote_support:0 "本国立场：§G赞同§!"
 zhx_gui_council_vote_oppose:0 "本国立场：§R反对§!"
 zhx_gui_council_vote_abstain:0 "本国立场：§Y弃权§!"
 ZHX_GUI_COUNCIL_VOTE_SUPPORT_BUTTON:0 "赞同"
 ZHX_GUI_COUNCIL_VOTE_OPPOSE_BUTTON:0 "反对"
 ZHX_GUI_COUNCIL_VOTE_ABSTAIN_BUTTON:0 "弃权"
 zhx_gui_incident_active:0 "§O王命不行§!"
 zhx_gui_incident_none:0 "§G天下无事§!"
 zhx_gui_incident_active_description:0 "列国正在进行一年公议，期满后重新点票。\n赞同：§G[CZH.zhx_council_vote_a_count.GetValue]§!　反对：§R[CZH.zhx_council_vote_b_count.GetValue]§!"
 zhx_gui_incident_none_description:0 "当前没有正在议论的天下事变。礼乐值跌破门槛时，新的事变可能由年度结算触发。"
 zhx_gui_reform_enacted:0 "§G已颁行§!\n重申成周盟书"
 zhx_gui_reform_available:0 "§Y尚未颁行§!\n重申成周盟书"

 zhx_gui_tianzi_shield_tt:0 "当前天子为§Y[CZH.GetName]§!。\n点击打开该国外交界面。"
 zhx_gui_authority_value_tt:0 "礼乐值范围为-100至100。§Y年度基础变化：§!基础§G+1§!；所有周天下国家均未参战§G+2§!；诸侯内战1至2场§R-1§!、3至5场§R-2§!、6场及以上§R-3§!；天子稳定至少1时§G+1§!、稳定为负时§R-2§!；威望至少50时§G+1§!、低于-25时§R-1§!；厌战至少5时§R-1§!；天子首都失陷时§R-5§!。天下显学会进一步改变和平、内战与对外战争胜利的礼乐和盟功结算；朝会、诸侯奉礼与天下事变也会即时改变礼乐值。"
 zhx_gui_member_count_tt:0 "当前被周天下名册承认为诸侯的现存国家数量。"
 zhx_gui_player_merit_tt:0 "盟功记录本国在周天下事务中的贡献。非成员观察者通常为零。"
 zhx_gui_player_role_tt:0 "天子主持周天下秩序；诸侯参与盟约与事变；其他国家只能查看公开状态。"
 zhx_gui_order_tt:0 "当前礼乐阶段决定周天下国家获得的共同修正。正值偏重民生但提高侵略扩张；负值偏重训练度但损害地方收益。"
 zhx_gui_incident_tt:0 "天下事变开始后持续约365天。成员可投赞同、反对或弃权票，并在期限内改票；到期时只统计仍然存在且仍属周天下的国家。赞同票严格多于反对票时通过，平票视为失败。"
 zhx_gui_reform_tt:0 "重申成周盟书是当前原型中已实现的第一项盟约改革。"
 zhx_gui_member_shield_tt:0 "周天下诸侯。点击打开该国外交界面。"
 zhx_gui_overview_button_tt:0 "打开只读的周天下详细总览，不改变任何系统状态。"
 GDD_EOC_AUTHORITY_TITLE:0 "中央权威与诸侯威信"
 GDD_EOC_FEUDATORY_PRESTIGE:0 "诸侯威信"
 GDD_EOC_CENTRAL_AUTHORITY:0 "中央权威"
 GDD_EOC_FEUDATORY_PRESTIGE_TT:0 "§Y诸侯威信§!\n诸侯威信衡量封国凭借军功、盟誓与列国承认制约中央的能力。威信越盛，军政资源越向地方汇聚，皇帝越难号令天下。\n\n§Y达到100%时的修正§!\n七大诸侯：\n  陆军上限：§G+50%§!\n  陆军士气：§G+10%§!\n  侵略扩张影响：§G-10%§!\n其余成员国：\n  贵族阶层忠诚度上限：§G+10%§!\n中华皇帝：\n  陆军上限：§R-50%§!\n  人力修正：§R-50%§!"
 GDD_EOC_CENTRAL_AUTHORITY_TT:0 "§Y中央权威§!\n中央权威衡量中华皇帝将朝会、财赋与军令集中于天朝的能力。权威越高，皇帝越能调集天下资源，而诸侯的独立军政空间越小。\n\n§Y达到100%时的修正§!\n中华皇帝：\n  陆军上限：§G+100%§!\n  税收修正：§G+50%§!\n  附庸进贡收入：§G+50%§!\n其余诸侯国：\n  陆军上限：§R-10%§!\n  侵略扩张影响：§R+25%§!"
 GDD_EOC_CURRENT_FEUDATORY_EFFECTS_TT:0 "§Y当前修正§!\n七大诸侯：\n  陆军上限：§G+[CZH.gdd_authority_half_display.GetValue]%§!\n  陆军士气：§G+[CZH.gdd_authority_tenth_display.GetValue]%§!\n  侵略扩张影响：§G-[CZH.gdd_authority_tenth_display.GetValue]%§!\n其余成员国：\n  贵族阶层忠诚度上限：§G+[CZH.gdd_authority_tenth_display.GetValue]%§!\n中华皇帝：\n  陆军上限：§R-[CZH.gdd_authority_half_display.GetValue]%§!\n  人力修正：§R-[CZH.gdd_authority_half_display.GetValue]%§!"
 GDD_EOC_CURRENT_CENTRAL_EFFECTS_TT:0 "§Y当前修正§!\n中华皇帝：\n  陆军上限：§G+[CZH.gdd_central_authority_display.GetValue]%§!\n  税收修正：§G+[CZH.gdd_authority_half_display.GetValue]%§!\n  附庸进贡收入：§G+[CZH.gdd_authority_half_display.GetValue]%§!\n其余诸侯国：\n  陆军上限：§R-[CZH.gdd_authority_tenth_display.GetValue]%§!\n  侵略扩张影响：§R+[CZH.gdd_authority_quarter_display.GetValue]%§!"
 GDD_EOC_CURRENT_BALANCE_EFFECTS_TT:0 "§Y当前修正§!\n所有周天下国家：\n  贸易效率：§G+10%§!\n  提升稳定花费：§G-10%§!"
 gdd_authority_balance_zero:0 "朝野权威均衡"
 gdd_central_authority_emperor_bit_001:0 "中央权威·天子·1点"
 gdd_central_authority_emperor_bit_002:0 "中央权威·天子·2点"
 gdd_central_authority_emperor_bit_004:0 "中央权威·天子·4点"
 gdd_central_authority_emperor_bit_008:0 "中央权威·天子·8点"
 gdd_central_authority_emperor_bit_016:0 "中央权威·天子·16点"
 gdd_central_authority_emperor_bit_032:0 "中央权威·天子·32点"
 gdd_central_authority_emperor_bit_064:0 "中央权威·天子·64点"
 gdd_central_authority_emperor_tenth_bit_001:0 "中央权威·天子·0.1点"
 gdd_central_authority_emperor_tenth_bit_002:0 "中央权威·天子·0.2点"
 gdd_central_authority_emperor_tenth_bit_004:0 "中央权威·天子·0.4点"
 gdd_central_authority_emperor_tenth_bit_008:0 "中央权威·天子·0.8点"
 gdd_central_authority_member_bit_001:0 "中央权威·诸侯·1点"
 gdd_central_authority_member_bit_002:0 "中央权威·诸侯·2点"
 gdd_central_authority_member_bit_004:0 "中央权威·诸侯·4点"
 gdd_central_authority_member_bit_008:0 "中央权威·诸侯·8点"
 gdd_central_authority_member_bit_016:0 "中央权威·诸侯·16点"
 gdd_central_authority_member_bit_032:0 "中央权威·诸侯·32点"
 gdd_central_authority_member_bit_064:0 "中央权威·诸侯·64点"
 gdd_central_authority_member_tenth_bit_001:0 "中央权威·诸侯·0.1点"
 gdd_central_authority_member_tenth_bit_002:0 "中央权威·诸侯·0.2点"
 gdd_central_authority_member_tenth_bit_004:0 "中央权威·诸侯·0.4点"
 gdd_central_authority_member_tenth_bit_008:0 "中央权威·诸侯·0.8点"
 gdd_feudatory_prestige_major_bit_001:0 "诸侯威信·大诸侯·1点"
 gdd_feudatory_prestige_major_bit_002:0 "诸侯威信·大诸侯·2点"
 gdd_feudatory_prestige_major_bit_004:0 "诸侯威信·大诸侯·4点"
 gdd_feudatory_prestige_major_bit_008:0 "诸侯威信·大诸侯·8点"
 gdd_feudatory_prestige_major_bit_016:0 "诸侯威信·大诸侯·16点"
 gdd_feudatory_prestige_major_bit_032:0 "诸侯威信·大诸侯·32点"
 gdd_feudatory_prestige_major_bit_064:0 "诸侯威信·大诸侯·64点"
 gdd_feudatory_prestige_major_tenth_bit_001:0 "诸侯威信·大诸侯·0.1点"
 gdd_feudatory_prestige_major_tenth_bit_002:0 "诸侯威信·大诸侯·0.2点"
 gdd_feudatory_prestige_major_tenth_bit_004:0 "诸侯威信·大诸侯·0.4点"
 gdd_feudatory_prestige_major_tenth_bit_008:0 "诸侯威信·大诸侯·0.8点"
 gdd_feudatory_prestige_member_bit_001:0 "诸侯威信·成员国·1点"
 gdd_feudatory_prestige_member_bit_002:0 "诸侯威信·成员国·2点"
 gdd_feudatory_prestige_member_bit_004:0 "诸侯威信·成员国·4点"
 gdd_feudatory_prestige_member_bit_008:0 "诸侯威信·成员国·8点"
 gdd_feudatory_prestige_member_bit_016:0 "诸侯威信·成员国·16点"
 gdd_feudatory_prestige_member_bit_032:0 "诸侯威信·成员国·32点"
 gdd_feudatory_prestige_member_bit_064:0 "诸侯威信·成员国·64点"
 gdd_feudatory_prestige_member_tenth_bit_001:0 "诸侯威信·成员国·0.1点"
 gdd_feudatory_prestige_member_tenth_bit_002:0 "诸侯威信·成员国·0.2点"
 gdd_feudatory_prestige_member_tenth_bit_004:0 "诸侯威信·成员国·0.4点"
 gdd_feudatory_prestige_member_tenth_bit_008:0 "诸侯威信·成员国·0.8点"
 gdd_feudatory_prestige_emperor_bit_001:0 "诸侯威信·天子·1点"
 gdd_feudatory_prestige_emperor_bit_002:0 "诸侯威信·天子·2点"
 gdd_feudatory_prestige_emperor_bit_004:0 "诸侯威信·天子·4点"
 gdd_feudatory_prestige_emperor_bit_008:0 "诸侯威信·天子·8点"
 gdd_feudatory_prestige_emperor_bit_016:0 "诸侯威信·天子·16点"
 gdd_feudatory_prestige_emperor_bit_032:0 "诸侯威信·天子·32点"
 gdd_feudatory_prestige_emperor_bit_064:0 "诸侯威信·天子·64点"
 gdd_feudatory_prestige_emperor_tenth_bit_001:0 "诸侯威信·天子·0.1点"
 gdd_feudatory_prestige_emperor_tenth_bit_002:0 "诸侯威信·天子·0.2点"
 gdd_feudatory_prestige_emperor_tenth_bit_004:0 "诸侯威信·天子·0.4点"
 gdd_feudatory_prestige_emperor_tenth_bit_008:0 "诸侯威信·天子·0.8点"
 gdd_eoc_authority_value:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m100:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m090:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m080:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m070:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m060:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m050:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m040:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m030:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m020:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_m010:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_zero:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p010:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p020:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p030:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p040:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p050:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p060:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p070:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p080:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p090:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 gdd_eoc_authority_value_p100:0 "§Y[CZH.gdd_authority_integer_display.GetValue]§!"
 GDD_EOC_AUTHORITY_BALANCE_TT:0 "§Y当前修正§!"
 gdd_eoc_member_count:0 "§Y[CZH.gdd_eoc_member_count_cache.GetValue]§!个成员国"
 GDD_EOC_MEMBER_COUNT_TT:0 "当前天命界面登记的周天下现存成员国数量；已删除的大明不计入。"
 GDD_EOC_MEMBER_SHIELD_TT:0 "周天下成员国。点击打开该国外交界面。"
 GDD_EOC_MEMBER_SCROLL_PAGE_1_TT:0 "成员国名册第一页。"
 GDD_EOC_MEMBER_SCROLL_PAGE_2_TT:0 "成员国名册第二页。"
 GDD_EOC_MEMBER_SCROLL_UP_TT:0 "向上滚动成员国名册。"
 GDD_EOC_MEMBER_SCROLL_DOWN_TT:0 "向下滚动成员国名册。"

 zhx_vote_support_ritual_breakdown_title:0 "公议投票：赞同王命"
 zhx_vote_support_ritual_breakdown_desc:0 "把本国在“王命不行”事变中的最终立场改为赞同。原有反对票或弃权票会被替换。"
 zhx_vote_oppose_ritual_breakdown_title:0 "公议投票：反对王命"
 zhx_vote_oppose_ritual_breakdown_desc:0 "把本国在“王命不行”事变中的最终立场改为反对。原有赞同票或弃权票会被替换。"
 zhx_vote_abstain_ritual_breakdown_title:0 "公议投票：暂且弃权"
 zhx_vote_abstain_ritual_breakdown_desc:0 "撤回本国在“王命不行”事变中的赞同票或反对票，并在当前公议中弃权。"
