"design_key","game_id","rgb_r","rgb_g","rgb_b","macro_region","draw_batch","new_name_zh","new_name_en","internal_key_hint","parent_id","parent_definition_name","parent_history_name","parent_area","parent_tax","parent_production","parent_manpower","retained_name_zh","retained_tax","retained_production","retained_manpower","new_tax","new_production","new_manpower","split_group","group_dev_delta","proposed_owner","claims_or_uncertainty","status","rationale"
"XN-11","5028","150","70","230","xinan","B09","夔州","Kuizhou","zhx_kuizhou_chongqing","680","Shenquing","Chongqing","chongqing_area","8","8","4","重庆","4","4","1","1","1","1","p680-fiveway","1","巴","","geometry_drawn_assets_ready","以明代夔州府治奉节和瞿塘峡为核心，形成巴国面向荆楚的东部关门。"
"XN-12","5069","126","83","54","xinan","B17","乌撒","Wusa","zhx_wusa_guizhou","674","Guiyang","Guiyang","qianxi_area","3","3","2","贵竹","3","3","2","2","2","3","p674-guizhou-tenway","27","黔中诸部","现代贵州轮廓、明初土司命名","geometry_drawn_assets_ready","乌撒高地与滇黔川交通边界，采用彝族土司旧称。"
"XN-13","5070","196","140","54","xinan","B17","水西","Shuixi","zhx_shuixi_guizhou","674","Guiyang","Guiyang","qianxi_area","3","3","2","贵竹","3","3","2","3","2","3","p674-guizhou-tenway","27","黔中诸部","水西安氏核心区域","geometry_drawn_assets_ready","鸭池河以西的水西土司腹地和黔西驿路。"
"XN-14","5071","62","166","210","xinan","B17","普定","Puding","zhx_puding_guizhou","674","Guiyang","Guiyang","qianxi_area","3","3","2","贵竹","3","3","2","2","2","2","p674-guizhou-tenway","27","黔中诸部","普定卫与安顺通道","geometry_drawn_assets_ready","黔中向西南展开的屯堡、关隘与茶马道路。"
"XN-15","5072","226","116","42","xinan","B17","普安","Pu'an","zhx_puan_guizhou","674","Guiyang","Guiyang","qianxi_area","3","3","2","贵竹","3","3","2","2","2","2","p674-guizhou-tenway","27","黔中诸部","涵盖黔西南诸土司","geometry_drawn_assets_ready","南盘江、北盘江之间的山地通道和牲畜贸易。"
"XN-16","5073","71","132","198","xinan","B17","清平","Qingping","zhx_qingping_guizhou","673","Bozhou","Zhenyuan","qiandong_area","1","1","1","都云","2","2","2","1","1","1","p673-guizhou-tenway","9","黔中诸部","苗疆长官司与湖广边界","geometry_drawn_assets_ready","清水江上游的苗寨、驿路和黔东门户。"
"XN-17","5074","141","82","190","xinan","B17","黎平","Liping","zhx_liping_guizhou","673","Bozhou","Zhenyuan","qiandong_area","1","1","1","都云","2","2","2","1","1","1","p673-guizhou-tenway","9","黔中诸部","黎平府和侗苗山地","geometry_drawn_assets_ready","黔东南清水江—都柳江山地与湖广、广西交通。"
"XN-05","4988","202","219","67","xinan","B09","楚雄","Chuxiong","zhx_chuxiong_yunnan","662","Yunnan","Kunming","yun_gui_area","6","5","3","昆明","4","3","1","1","1","1","p662-threeway","0","大理","与XN-06共同构成三向拆分","working","表现大理—昆明之间的盆地和驿路节点。"
"XN-06","4989","30","134","204","xinan","B09","东川","Dongchuan","zhx_dongchuan_yunnan","662","Yunnan","Kunming","yun_gui_area","6","5","3","昆明","4","3","1","1","1","1","p662-threeway","0","大理","乌蒙势力可有核心；与XN-05共同构成三向拆分","working","表现金沙江—乌蒙高地和铜矿区。"
"XN-07","4990","212","73","115","xinan","B09","永昌","Yongchang","zhx_yongchang_yunnan","661","Dali","Dali","yun_gui_borderland_area","3","3","3","大理","2","2","2","1","1","1","p661-a","0","大理","","working","表现保山—腾越方向边关和对缅贸易走廊。"
"XN-08","4991","39","197","38","xinan","B09","安顺","Anshun","zhx_anshun_guizhou","674","Guiyang","Guiyang","yun_gui_area","3","3","2","贵阳","2","2","1","1","1","1","p674-a","0","黔中诸部","国家标签和最终国界待定","ownership_pending","表现贵州西部门户和黔—滇山地道路。"
"S-01","4976","88","219","67","south_china","B06","松江","Songjiang","zhx_songjiang_jiangsu","1822","Shangai","Suzhou","jinling_wuhui_area","9","9","2","苏州","5","6","2","4","5","2","p1822-b","13","吴","保留长江口加成；开局不另设贸易中心","geometry_drawn_assets_ready","黄浦江—长江口南岸的棉纺、海运和港口腹地。"
"S-02","4977","57","30","204","south_china","B06","泰州","Taizhou (Jiangsu)","zhx_taizhou_jiangsu","685","Huai'an","Yangzhou","huaiyang_tongtai_area","12","12","2","扬州","6","8","3","3","5","2","p685-b","26","淮扬盟","依里下河与长江北岸划界","geometry_drawn_assets_ready","盐运、纺织与江海转运节点。"
"S-03","5066","56","146","94","south_china","B16","芜湖","Wuhu","zhx_wuhu_anhui","2146","Ningguo","Ningguo","wanjiang_area","3","3","3","宁国","3","4","2","4","6","2","p2146-huining","20","通商公邑","预留自由市；吴国保留影响","geometry_drawn_assets_ready","长江南岸铁业商港和二级贸易中心，作为安徽唯一自由市。"
"S-04","4950","38","197","155","south_china","B06","湖州","Huzhou","zhx_huzhou_zhejiang","684","Hangzhou","Hangzhou","zhejiang_area","12","12","3","杭州","7","9","3","4","5","2","p684-fourway","22","吴","吴国太湖南线；越国保留永久宣称","geometry_drawn_assets_ready","表现太湖南岸、苕溪水运、丝业腹地和吴越北部前线。"
"S-05","4951","226","60","221","south_china","B06","台州","Taizhou (Zhejiang)","zhx_taizhou_zhejiang","1824","Wenzhou","Wenzhou","east_zhejiang_area","3","3","2","温州","4","5","2","3","4","2","p1824-threeway","17","越","与宁海共同重组浙东南海岸","geometry_drawn_assets_ready","临海府治、天台山与浙东南港湾。"
"S-06","4979","144","190","45","south_china","B07","九江","Jiujiang","zhx_jiujiang_jiangxi","683","Nanchang","Nanchang","jiangxi_area","6","6","3","南昌","9","10","6","7","8","5","p683-threeway","44","赣","汉地发展度平衡；与瑞州共同拆分","geometry_drawn_assets_ready","鄱阳湖出口和长江港口；赣北一级贸易中心。"
"S-07","4980","67","126","219","south_china","B07","临川","Linchuan","zhx_linchuan_jiangxi","1833","Ji'an","Ji'an","south_jiangxi_area","4","4","2","吉安","7","7","5","6","7","4","p1833-threeway","36","赣","汉地发展度平衡；与袁州共同拆分","geometry_drawn_assets_ready","分出抚河盆地、书院和江西东部腹地。"
"S-08","4981","204","30","47","south_china","B07","汉阳","Hanyang","zhx_hanyang_hubei","682","Hanyang","Wuchang","wuhan_enan_area","8","8","3","武昌","6","7","4","4","3","2","p682-fiveway","42","荆楚","位于汉江南侧、长江北岸的两江夹角","geometry_drawn_assets_ready","汉江入江口西南侧、长江北岸的武汉三镇西部腹地。"
"S-09","4982","73","212","100","south_china","B07","岳州","Yuezhou","zhx_yuezhou_hunan","671","Changsha","Changsha","dongting_area","6","6","4","长沙","8","9","4","7","8","4","p671-fourway","48","湘","荆楚可有核心或永久宣称","geometry_drawn_assets_ready","洞庭湖出口和长江门户；湘国北部一级贸易中心。"
"S-10","4983","115","38","197","south_china","B07","宝庆","Baoqing","zhx_baoqing_hunan","2174","Hengyang","Hengyang","hunan_area","3","3","3","衡州","4","4","5","3","3","4","p2174-fourway","38","湘","汉地发展度平衡；与永州、郴州共同拆分","geometry_drawn_assets_ready","资水上游、湘中西部腹地和山地畜牧区。"
"S-11","4952","226","189","60","south_china","B08","莆田","Putian","zhx_putian_fujian","669","Fuzhou","Fuzhou","fujian_area","8","8","3","福州","5","5","2","3","3","1","p669-a","0","闽","非BMP资产已完成；等待手绘","assets_ready_geometry_pending","表现兴化湾和海商腹地。"
"S-12","4953","45","180","190","south_china","B08","漳州","Zhangzhou","zhx_zhangzhou_fujian","1829","Xiamen","Quanzhou","fujian_area","8","8","3","泉州","4","4","1","3","3","1","p1829-threeway","3","闽","与厦门共享原泉州沿海空间；非BMP资产已完成","assets_ready_geometry_pending","分出九龙江流域和闽南港区。"
"S-13","4942","190","91","45","south_china","B01","佛山","Foshan","zhx_foshan_guangdong","667","Guangzhou","Canton","guangdong_area","12","12","3","广州","8","8","2","4","4","1","p667-a","0","粤","667必须保留城市、港口、南海神庙和贸易修正","anchor_locked","分出珠三角手工业腹地，同时保留广州都会核心。"
"S-14","4943","67","219","159","south_china","B01","东莞","Dongguan","zhx_dongguan_guangdong","2157","Waichow","Waichow","guangdong_area","7","7","3","惠州","2","2","1","3","3","1","p2157-fourway","1","粤","","working","表现珠江口东岸、虎门海防和沿海工商业走廊。"
"S-15","4944","187","30","204","south_china","B01","梅州","Meizhou (Guangdong)","zhx_meizhou_guangdong","2156","Chaochow","Chaochow","guangdong_area","6","6","2","潮州","4","4","1","2","2","1","p2156-a","0","粤","潮州母省推荐归闽；形成闽粤边界","working","分出客家山地中心和粤东北腹地。"
"S-16","4945","186","212","73","south_china","B01","高州","Gaozhou","zhx_gaozhou_guangdong","2159","Leichow","Leichow","west_guangdong_area","3","3","2","雷州","2","2","1","1","1","1","p2159-a","0","粤","","working","从雷州半岛根部划出高雷腹地。"
"S-19","4946","20","200","220","south_china","B01","屯门","Tuen Mun","zhx_tuenmun_guangdong","2157","Waichow","Waichow","guangdong_area","7","7","3","惠州","2","2","1","1","1","1","p2157-fourway","1","粤","以新界—九龙沿岸抽象表示；不修改原版海岸线","working","珠江口东侧的屯门锚地、渔盐聚落与海防节点；不再使用现代香港都会名。"
"S-20","4947","106","60","226","south_china","B01","罗定","Luoding","zhx_luoding_guangdong","665","Shiuhing","Shiuhing","west_guangdong_area","4","4","3","肇庆","3","3","2","1","1","1","p665-a","0","粤","1444年按泷水县表现；罗定州名为玩家识别名","working","分出西江南侧山地县域与泷水盆地，形成粤桂之间的内陆纵深。"
"S-21","4948","190","128","45","south_china","B01","南雄","Nanxiong","zhx_nanxiong_guangdong","2158","Shaozhou","Shaozhou","guangdong_area","4","4","2","韶州","2","3","1","2","1","1","p2158-a","0","粤","以保昌府治和梅关商路表现","working","分离南雄盆地、梅关古道与赣粤转运门户。"
"S-22","4949","67","219","198","south_china","B01","陆丰","Lufeng","zhx_lufeng_guangdong","2157","Waichow","Waichow","guangdong_area","7","7","3","惠州","2","2","1","1","1","1","p2157-fourway","1","粤","1444年以碣石卫为首府；采用闽南文化但不添加闽核心","working","分出海陆丰沿海盐场与碣石海防节点；为四省最低发展度净增一点人力。"
"S-17","4954","219","67","164","south_china","B08","浔州","Xunzhou","zhx_xunzhou_guangxi","2163","Liuzhou","Liuzhou","guangxi_area","3","3","2","柳州","1","1","1","1","1","1","p2163-threeway","1","桂","与太平共享数值母省；几何和资产已完成","geometry_drawn_assets_ready","表现柳州、南宁与梧州之间的黔江—浔江节点和桂国内河交通。"
"S-18","4955","91","204","30","south_china","B08","诸罗","Zhuluo","zhx_zhuluo_taiwan","2155","Middag","Middag","taiwan_area","2","2","3","大肚","1","1","2","1","1","1","p2155-a","0","台湾诸社","盟外国家身份待定；几何和资产已完成","geometry_drawn_assets_ready","分出大肚以南、赤崁以北的台湾西南平原和诸罗诸社，不预设大陆诸侯殖民。"
"S-23","4956","24","170","230","south_china","B06","衢州","Quzhou","zhx_quzhou_zhejiang","2150","Jinhua","Jinhua","jinqu_chuzhou_area","3","3","2","金华","3","4","2","3","3","2","p2150-fourway","24","越","仙霞关要塞；几何已完成","geometry_drawn_assets_ready","浙西衢江盆地、仙霞关道路与闽浙赣交通门户。"
"S-24","4957","230","110","35","south_china","B08","邵武","Shaowu","zhx_shaowu_fujian","2152","Jianning","Jianning","west_fujian_area","2","2","2","建宁","1","1","1","1","1","1","p2152-a","0","闽","等待用户手绘","assets_ready_geometry_pending","分出闽西北富屯溪谷地、纸业和通往江西的山口。"
"S-25","4958","135","45","225","south_china","B08","厦门","Xiamen","zhx_xiamen_fujian","1829","Xiamen","Quanzhou","fujian_area","8","8","3","泉州","4","4","1","2","3","1","p1829-threeway","3","闽","已按用户手绘几何落位；RGB保持不变","geometry_drawn_assets_ready","表现厦门岛、九龙江口海运和闽南商业门户。"
"S-26","4959","55","205","120","south_china","B08","庆远","Qingyuan","zhx_qingyuan_guangxi","1840","Guilin","Guilin","youjiang_area","2","2","2","桂林","1","1","1","1","1","1","p1840-a","0","桂","几何已从桂林西侧划出并与柳州相邻","geometry_drawn_assets_ready","表现宜山—河池方向的山地府治和黔桂边疆通道。"
"S-27","4960","225","65","135","south_china","B08","太平","Taiping","zhx_taiping_guangxi","2163","Liuzhou","Liuzhou","guangxi_area","3","3","2","柳州","1","1","1","1","1","1","p2163-threeway","1","桂","几何已从南宁西南侧划出；梧州转移1人力保持Area守恒","geometry_drawn_assets_ready","表现左江流域、土司边疆和通往安南的西南门户。"
"S-28","4961","160","205","45","south_china","B08","噶玛兰","Kavalan","zhx_kavalan_taiwan","738","Sakam","Sakam","taiwan_area","4","4","2","赤崁","3","3","1","1","1","1","p738-a","0","台湾诸社","几何已从淡水东北侧划出；保持未殖民","geometry_drawn_assets_ready","分出台湾东北兰阳平原和噶玛兰诸社，不预设大陆政权占领。"
"S-29","4992","226","100","45","south_china","B07","瑞州","Ruizhou","zhx_ruizhou_jiangxi","683","Nanchang","Nanchang","jiangxi_area","6","6","3","南昌","9","10","6","5","5","4","p683-threeway","44","赣","汉地发展度平衡；与九江共同拆分","geometry_drawn_assets_ready","南昌西部粮仓和连接湘赣的陆路腹地。"
"S-30","4993","45","220","130","south_china","B07","广信","Guangxin","zhx_guangxin_jiangxi","2151","Poyang","Poyang","jiangxi_area","3","3","2","饶州","7","9","4","5","6","3","p2151-a","26","赣","铜矿为结合世界观的历史发散","geometry_drawn_assets_ready","上饶—德兴矿区与浙赣东部门户。"
"S-31","4994","150","60","210","south_china","B07","袁州","Yuanzhou","zhx_yuanzhou_jiangxi","1833","Ji'an","Ji'an","south_jiangxi_area","4","4","2","吉安","7","7","5","3","4","3","p1833-threeway","36","赣","汉地发展度平衡；与临川共同拆分","geometry_drawn_assets_ready","宜春盆地、农业腹地和湘赣边境通道。"
"S-32","4995","210","190","45","south_china","B07","南安","Nan'an","zhx_nanan_jiangxi","670","Ganzhou","Ganzhou","south_jiangxi_area","4","4","2","赣州","6","7","5","3","3","2","p670-a","16","赣","须与南雄相邻并承接梅关古道","geometry_drawn_assets_ready","赣粤边境铁业、梅关门户和防御要塞。"
"S-33","4996","30","170","210","south_china","B07","澧州","Lizhou","zhx_lizhou_hunan","672","Chenzhou","Wulin","dongting_area","3","3","2","常德","5","6","4","2","4","4","p672-a","17","湘","汉地发展度平衡","geometry_drawn_assets_ready","澧水上游、湘鄂西北通道和洞庭湖西北屏障。"
"S-34","4997","220","90","150","south_china","B07","益阳","Yiyang","zhx_yiyang_hunan","671","Changsha","Changsha","dongting_area","6","6","4","长沙","8","9","4","4","4","4","p671-fourway","48","湘","与岳州、湘潭共同拆分","geometry_drawn_assets_ready","资水尾闾、木排运输和洞庭湖南岸腹地。"
"S-35","4998","80","200","220","south_china","B07","湘潭","Xiangtan","zhx_xiangtan_hunan","671","Changsha","Changsha","hunan_area","6","6","4","长沙","8","9","4","4","5","3","p671-fourway","48","湘","与岳州、益阳共同拆分","geometry_drawn_assets_ready","湘江中游工商业和醴陵窑业的地图抽象。"
"S-36","4999","200","160","50","south_china","B07","靖州","Jingzhou (Hunan)","zhx_jingzhou_hunan","2173","Yuanling","Yuanling","southwest_hunan_area","3","3","2","辰州","3","4","6","3","3","5","p2173-a","16","湘","以苗文化和泛灵信仰抽象苗侗土司边疆","geometry_drawn_assets_ready","湘西南土司腹地和通往贵州、广西的山地门户。"
"S-37","5000","90","50","220","south_china","B07","永州","Yongzhou","zhx_yongzhou_hunan","2174","Hengyang","Hengyang","southwest_hunan_area","3","3","3","衡州","4","4","5","3","3","4","p2174-fourway","38","湘","与宝庆、郴州共同拆分","geometry_drawn_assets_ready","潇水谷地、铁业和湘桂通道。"
"S-38","5001","220","70","70","south_china","B07","郴州","Chenzhou (South Hunan)","zhx_chenzhou_south_hunan","2174","Hengyang","Hengyang","southwest_hunan_area","3","3","3","衡州","4","4","5","4","6","4","p2174-fourway","38","湘","必须接触南雄、南安或赣南方向","geometry_drawn_assets_ready","南岭铜矿、赣粤边境和湘国南部要塞。"
"S-39","5002","245","130","70","south_china","B06","嘉兴","Jiaxing","zhx_jiaxing_zhejiang","684","Hangzhou","Hangzhou","zhejiang_area","12","12","3","杭州","7","9","3","4","5","2","p684-fourway","22","吴","吴国运河南端与越国边境","geometry_drawn_assets_ready","太湖南缘水网、运河、布业和吴越争夺的北部平原。"
"S-40","5003","75","175","235","south_china","B06","严州","Yanzhou","zhx_yanzhou_zhejiang","684","Hangzhou","Hangzhou","zhejiang_area","12","12","3","杭州","7","9","3","3","3","2","p684-fourway","22","越","富春江上游与浙皖山口","geometry_drawn_assets_ready","新安江—富春江上游、纸业和浙皖山地门户。"
"S-41","5004","40","210","180","south_china","B06","昌国","Changguo","zhx_changguo_zhejiang","2149","Mingzhou","Mingzhou","east_zhejiang_area","6","7","3","明州","5","7","3","2","3","1","p2149-a","5","越","世界线中未实施明初撤县迁民","geometry_drawn_assets_ready","舟山群岛、东海外港和越国舰队基地。"
"S-42","5005","210","80","160","south_china","B06","宁海","Ninghai","zhx_ninghai_zhejiang","1824","Wenzhou","Wenzhou","east_zhejiang_area","3","3","2","温州","4","5","2","2","2","1","p1824-threeway","17","越","从台州府北部和三门湾海岸划出","geometry_drawn_assets_ready","宁波—台州之间的三门湾、盐场和山海缓冲地带。"
"S-43","5006","175","210","60","south_china","B06","义乌","Yiwu","zhx_yiwu_zhejiang","2150","Jinhua","Jinhua","jinqu_chuzhou_area","3","3","2","金华","3","4","2","3","3","2","p2150-fourway","24","越","金华盆地东部商旅与宗族腹地","geometry_drawn_assets_ready","浙中丘陵、商旅网络和金华盆地东部城邑。"
"S-44","5007","110","75","225","south_china","B06","处州","Chuzhou","zhx_chuzhou_zhejiang","2150","Jinhua","Jinhua","jinqu_chuzhou_area","3","3","2","金华","3","4","2","2","3","2","p2150-fourway","24","越","以丽水为府治并表现龙泉窑业","geometry_drawn_assets_ready","括苍山地、龙泉窑和通往闽北的山间门户。"
"S-45","5008","235","115","55","south_china","B10","郧","Yun","zhx_yun_hubei","2171","Xiangyang","Xiangyang","hanjiang_xiangyun_area","4","4","3","襄阳","6","6","5","2","3","3","p2171-threeway","22","荆楚","沿汉江上游与武当山划界","geometry_drawn_assets_ready","秦巴—武当山地、汉江上游和鄂陕门户。"
"S-46","5009","55","185","95","south_china","B10","随州","Suizhou","zhx_suizhou_hubei","2171","Xiangyang","Xiangyang","dean_qihuang_area","4","4","3","襄阳","6","6","5","3","2","3","p2171-threeway","22","荆楚","以随枣走廊和大洪山北麓为骨架","geometry_drawn_assets_ready","古随州腹地、随枣走廊与鄂北南北交通门户。"
"S-47","5010","185","70","225","south_china","B10","安陆","Anlu","zhx_anlu_hubei","2172","Jingzhou","Jingzhou","hanjiang_xiangyun_area","3","3","2","荆州","5","5","4","3","3","2","p2172-threeway","23","荆楚","安陆府与荆门州折衷合并","geometry_drawn_assets_ready","安陆—汉水中游的宗教、文教与粮运中心。"
"S-48","5011","235","190","55","south_china","B10","汉口","Hankou","zhx_hankou_free_city","682","Hanyang","Wuchang","wuhan_enan_area","8","8","3","武昌","6","7","4","6","10","3","p682-fiveway","42","汉口通商公邑","周盟保护；楚开局不设核心","geometry_drawn_assets_ready","严格沿汉江北岸与长江西／北岸展开的入江口自由市与二级贸易中心。"
"S-49","5012","45","150","220","south_china","B10","黄州","Huangzhou","zhx_huangzhou_hubei","4197","Qizhou","Qizhou","dean_qihuang_area","2","2","1","蕲州","3","3","2","4","4","2","p4197-two-way","13","荆楚","沿巴水和大别山南麓拆分","geometry_drawn_assets_ready","鄂东茶业、商贸与赣皖水陆门户。"
"S-50","5013","205","75","105","south_china","B10","施州","Shizhou","zhx_shizhou_hubei","681","Yichuan","Yichang","jingyi_shinan_area","3","3","2","夷陵","4","4","3","2","2","2","p681-two-way","9","荆楚","山地土司保持高自治","geometry_drawn_assets_ready","清江流域、武陵山地和楚巴土司边疆。"
"S-51","5014","95","210","175","south_china","B10","公安","Gongan","zhx_gongan_hubei","2172","Jingzhou","Jingzhou","jingyi_shinan_area","3","3","2","荆州","5","5","4","2","4","3","p2172-threeway","23","荆楚","严格位于荆州对岸","geometry_drawn_assets_ready","长江南岸、洞庭湖北缘和江汉粮运接口。"
"S-52","5015","140","95","230","south_china","B10","沔阳","Mianyang","zhx_mianyang_hubei","682","Hanyang","Wuchang","jingyi_shinan_area","8","8","3","武昌","6","7","4","2","2","2","p682-fiveway","42","荆楚","沿汉水下游与江汉平原水网划界","geometry_drawn_assets_ready","江汉平原腹地与汉水下游水陆通道，行政归入荆宜施南区域。"
"S-53","5016","210","145","65","south_china","B10","兴国","Xingguo","zhx_xingguo_hubei","682","Hanyang","Wuchang","wuhan_enan_area","8","8","3","武昌","6","7","4","3","4","3","p682-fiveway","42","荆楚","以大冶—阳新矿区为主体","geometry_drawn_assets_ready","铜矿、湖群和鄂赣边界山地。"
"S-54","5017","235","85","145","south_china","B11","邳州","Pizhou","zhx_pizhou_jiangsu","2141","Xuzhou","Xuzhou","xuhuai_haizhou_area","5","5","2","徐州","5","5","2","2","3","2","p2141-northjiangsu","7","徐淮","并回徐州，不再作为独立省份","retired_merged","降低苏北省份密度；邳州作为徐州内部历史节点保留。"
