province_id,province_name,area,previous_culture,target_culture,history_file
699,兰州,gansu_area,xibei,gdd_long,699 - Lanzhou.txt
700,长安,changan_area,zhili,gdd_zhongyuan,700 - Xi'an.txt
701,,ordos_area,mongol,gdd_jin,701 - Ordos.txt
702,,inner_mongolia_area,mongol,gdd_jin,702 - Hohhot.txt
703,,hebei_area,chahar,gdd_yan,703 - Chengde.txt
704,宁远,xi_liaoning_area,yan,gdd_dongyi,704 - Ningyuan.txt
708,武威,hexi_area,xibei,gdd_long,708 - Gansu.txt
732,,hamgyeong_area,korean,korean,732 - South Hamgyeong.txt
733,,western_korea_area,korean,korean,733 - Hwangju.txt
734,,eastern_korea_area,korean,korean,734 - West Gangwon.txt
735,,western_korea_area,korean,korean,735 - Hanseong.txt
736,,eastern_korea_area,korean,korean,736 - Sangju.txt
737,,south_korea_area,korean,korean,737 - Jeonju.txt
1013,,south_korea_area,korean,korean,1013 - Cheongju.txt
1016,,vietnam_area,vietnamese,vietnamese,1016 - Ha Tinh.txt
1816,燕,yandu_area,chihan,gdd_yan,1816 - Beijing.txt
1821,六合,yingtian_area,jianghuai,gdd_wu,1821 - Nanjing.txt
1822,苏州,jinling_wuhui_area,wu,gdd_wu,1822 - Suzhou.txt
1824,温州,east_zhejiang_area,wu,gdd_wu,1824 - Wenzhou.txt
1829,泉州,minnan_area,chimin,gdd_min,1829 - Quanzhou.txt
1833,,south_jiangxi_area,gan,gdd_gan,1833 - Ji'an.txt
1836,洛阳,chengzhou_area,zhongyuan,gdd_zhongyuan,1836 - Luoyang.txt
1838,庐州,jianghuai_area,jianghuai,gdd_jianghuai,1838 - Hefei.txt
1840,桂林,guangxi_area,zhuang,gdd_gui,1840 - Guilin.txt
1845,,pyongan_area,korean,korean,1845 - South Pyongan.txt
2113,盖州,liaoning_area,shandong_culture,gdd_qi,2113 - Gaizhou.txt
2136,,hebei_area,jin,gdd_jin,2136 - Xuanhua.txt
2137,大名,south_hebei_area,chihan,gdd_zhongyuan,2137 - Daming.txt
2138,武定,qizhou_area,shandong,gdd_qi,2138 - Wuding.txt
2139,莱州,denglai_area,shandong_culture,gdd_qi,2139 - Laizhou.txt
2140,兖州,lunan_area,shandong,gdd_qi,2140 - Yanzhou.txt
2141,徐州,xuhuai_haizhou_area,zhongyuan,gdd_zhongyuan,2141 - Xuzhou.txt
2142,淮安,xuhuai_haizhou_area,jianghuai,gdd_jianghuai,2142 - Huai'an.txt
2143,凤阳,huaiying_area,zhongyuan,gdd_zhongyuan,2143 - Fengyang.txt
2144,颍州,huaiying_area,zhongyuan,gdd_zhongyuan,2144 - Fuyang.txt
2145,镇江,jinling_wuhui_area,jianghuai,gdd_wu,2145 - Zhenjiang.txt
2146,宁国,huining_area,wu,gdd_wu,2146 - Ningguo.txt
2147,徽州,huining_area,wu,gdd_wu,2147 - Huizhou.txt
2148,绍兴,zhejiang_area,wu,gdd_wu,2148 - Shaoxin.txt
2149,宁波,east_zhejiang_area,wu,gdd_wu,2149 - Ningbo.txt
2150,金华,jinqu_chuzhou_area,wu,gdd_wu,2150 - Jinhua.txt
2151,饶州,jiangxi_area,gan,gdd_gan,2151 - Poyang.txt
2152,建宁,west_fujian_area,chimin,gdd_min,2152 - Jianning.txt
2153,汀州,west_fujian_area,chimin,gdd_min,2153 -Tingzhou.txt
2156,潮州,chaoshan_area,chimin,gdd_min,2156 - Chaochow.txt
2157,惠州,dongjiang_area,hakka,gdd_hakka,2157 - Waichow.txt
2158,韶关,guangdong_area,hakka,gdd_guangfu,2158 - Shiukwan.txt
2159,,west_guangdong_area,chimin,gdd_zhuang,2159 - Leichow.txt
2160,崖州,hainan_area,chimin,gdd_zhuang,2160 - Ngaichow.txt
2161,,west_guangdong_area,cantonese,gdd_zhuang,2161 - Limchow.txt
2162,梧州,guidong_area,cantonese,gdd_guangfu,2162 - Wuchow.txt
2163,柳州,guangxi_area,zhuang,gdd_gui,2163 - Liuzhou.txt
2164,南宁,youjiang_area,zhuang,gdd_guangfu,2164 - Namnig.txt
2165,思茅,diannan_area,bai,gdd_dian,2165 - Pu'er.txt
2167,丽江,dianxibei_area,bai,bai,2167 - Lijiang.txt
2168,播州,qiandong_area,yi,miao,2168 - Bozhou.txt
2169,阆中,chuanbei_area,sichuanese,gdd_shu,2169 - Langzhong.txt
2170,松州,songmao_area,tibetan,gdd_diqiang,2170 - Songqu.txt
2171,襄阳,hanjiang_xiangyun_area,hubei,gdd_zhongyuan,2171 - Xiangyang.txt
2172,荆州,jingyi_shinan_area,hubei,gdd_chu,2172 - Jingzhou.txt
2173,辰州,dongting_area,miao,miao,2173 - Yuanling.txt
2174,衡州,hunan_area,xiang,gdd_chu,2174 - Hengyang.txt
2175,信阳,dean_qihuang_area,zhongyuan,gdd_chu,2175 - Runing.txt
2176,归德,guide_xuchen_area,zhongyuan,gdd_songwei,2176 - Shangqiu.txt
2177,宁武,yanmen_area,zhili,gdd_jin,2177 - Ningwu.txt
2178,潞安,shangdang_area,zhili,gdd_jin,2178 - Lu'an.txt
2179,延安,bei_shaanxi_area,jin,gdd_jin,2179 - Yan'an.txt
2180,天水,longyou_area,xibei,gdd_zhongyuan,2180 - Tianshui.txt
2181,平凉,xi_shaanxi_area,xibei,gdd_zhongyuan,2181 - Pingliang.txt
2182,靖远,hexi_area,xibei,gdd_long,2182 - Liangzhou.txt
2183,洮州,longnan_area,tibetan,gdd_long,2183 - Taozhou.txt
2184,西宁,gansu_area,xibei,gdd_long,2184 - Xining.txt
2372,,red_river_delta_area,vietnamese,vietnamese,2372 - Hai Phong.txt
2373,,vietnam_area,vietnamese,vietnamese,2373 - Hue.txt
2694,,eastern_korea_area,korean,korean,2694 - East Gangwon.txt
2741,,south_korea_area,korean,korean,2741 - Jeju.txt
2742,,hamgyeong_area,manchu,korean,2742 - Yukjin.txt
2743,,hamgyeong_area,manchu,korean,2743 - North Hamgyeong.txt
2744,,pyongan_area,korean,korean,2744 - Nyeongbyeon.txt
2745,,eastern_korea_area,korean,korean,2745 - Gyengju.txt
2748,嶲州,liangshan_area,yi,yi,2748 - Jianchang.txt
4194,永平,dong_hebei_area,yan,gdd_dongyi,4194 - Yongping.txt
4195,真定,south_hebei_area,chihan,gdd_yan,4195 - Zhending.txt
4196,海州,xuhuai_haizhou_area,jianghuai,gdd_jianghuai,4196 - Haizhou.txt
4197,德安,dean_qihuang_area,hubei,gdd_chu,4197 - Huangzhou.txt
4198,凤翔,shaanxi_area,xibei,gdd_zhongyuan,4198 - Fengxiang.txt
4199,思南,qiandong_area,miao,miao,4199 - Tongren.txt
4211,达州,chuanbei_area,sichuanese,gdd_shu,4211 - Dazhou.txt
4212,嘉州,jiaya_area,sichuanese,gdd_shu,4212 - Jiazhou.txt
4213,泸州,chuannan_area,sichuanese,gdd_shu,4213 - Luzhou.txt
4227,,eastern_korea_area,korean,korean,4227 - Daegu.txt
4228,,south_korea_area,korean,korean,4228 - Naju.txt
4229,,south_korea_area,korean,korean,4229 - Chungju.txt
4230,,western_korea_area,korean,korean,4230 - Suwon.txt
4231,,western_korea_area,korean,korean,4231 - Haeju.txt
4232,,pyongan_area,korean,korean,4232 - Ganggye.txt
4652,海城,liaoning_area,shandong_culture,gdd_qi,4652 - Haicheng.txt
4819,,red_river_delta_area,vietnamese,gdd_zhuang,4819 - Son Nam.txt
4820,,red_river_delta_area,vietnamese,gdd_zhuang,4820 - Minh Quang.txt
4821,,vietnam_area,vietnamese,vietnamese,4821 - Nghe An.txt
4942,佛山,pearl_river_delta_area,cantonese,gdd_guangfu,4942 - Foshan.txt
4943,东莞,pearl_river_delta_area,cantonese,gdd_guangfu,4943 - Dongguan.txt
4944,梅州,dongjiang_area,hakka,gdd_hakka,4944 - Meizhou.txt
4945,高州,west_guangdong_area,cantonese,gdd_zhuang,4945 - Gaozhou.txt
4946,香港,pearl_river_delta_area,cantonese,gdd_guangfu,4946 - Hong Kong.txt
4947,罗定,west_guangdong_area,cantonese,gdd_guangfu,4947 - Luoding.txt
4948,南雄,guangdong_area,hakka,gdd_hakka,4948 - Nanxiong.txt
4949,海丰,chaoshan_area,chimin,gdd_min,4949 - Haifeng.txt
4950,湖州,zhejiang_area,wu,gdd_wu,4950 - Huzhou.txt
4951,台州,east_zhejiang_area,wu,gdd_wu,4951 - Taizhou.txt
4952,兴化,fujian_area,chimin,gdd_min,4952 - Xinghua.txt
4953,漳州,minnan_area,chimin,gdd_min,4953 - Zhangzhou.txt
4954,浔州,guidong_area,cantonese,gdd_guangfu,4954 - Xunzhou.txt
4956,衢州,jinqu_chuzhou_area,wu,gdd_wu,4956 - Quzhou.txt
4957,邵武,west_fujian_area,chimin,gdd_min,4957 - Shaowu.txt
4958,厦门,minnan_area,chimin,gdd_min,4958 - Xiamen.txt
4959,庆远,guidong_area,zhuang,gdd_zhuang,4959 - Qingyuan.txt
4960,镇安,youjiang_area,zhuang,gdd_zhuang,4960 - Zhenan.txt
4966,荥阳,wangji_area,zhongyuan,gdd_zhongyuan,4966 - Xingyang.txt
4967,陕州,chengzhou_area,zhongyuan,gdd_zhongyuan,4967 - Shanzhou.txt
4976,松江,jinling_wuhui_area,wu,gdd_wu,4976 - Songjiang.txt
4977,泰州,huaiyang_tongtai_area,jianghuai,gdd_jianghuai,4977 - Taizhou.txt
4979,九江,jiangxi_area,gan,gdd_chu,4979 - Jiujiang.txt
4980,临川,south_jiangxi_area,gan,gdd_gan,4980 - Linchuan.txt
4981,汉阳,wuhan_enan_area,hubei,gdd_chu,4981 - Hanyang.txt
4982,岳州,hunan_area,xiang,gdd_chu,4982 - Yuezhou.txt
4983,宝庆,southwest_hunan_area,xiang,gdd_chu,4983 - Baoqing.txt
4987,万州,chongqing_area,sichuanese,gdd_shu,4987 - Wanzhou.txt
4992,瑞州,jiangxi_area,gan,gdd_gan,4992 - Ruizhou.txt
4993,广信,jiangxi_area,gan,gdd_gan,4993 - Guangxin.txt
4994,袁州,south_jiangxi_area,gan,gdd_gan,4994 - Yuanzhou.txt
4995,南安,south_jiangxi_area,hakka,gdd_hakka,4995 - Nan'an.txt
4996,澧州,dongting_area,xiang,miao,4996 - Lizhou.txt
4997,益阳,dongting_area,xiang,gdd_chu,4997 - Yiyang.txt
4998,湘潭,hunan_area,xiang,gdd_chu,4998 - Xiangtan.txt
4999,靖州,southwest_hunan_area,miao,miao,4999 - Jingzhou.txt
5000,永州,southwest_hunan_area,xiang,gdd_chu,5000 - Yongzhou.txt
5001,郴州,southwest_hunan_area,xiang,gdd_gui,5001 - Chenzhou.txt
5002,嘉兴,zhejiang_area,wu,gdd_wu,5002 - Jiaxing.txt
5003,严州,zhejiang_area,wu,gdd_wu,5003 - Yanzhou.txt
5004,昌国,east_zhejiang_area,wu,gdd_wu,5004 - Changguo.txt
5005,宁海,east_zhejiang_area,wu,gdd_wu,5005 - Ninghai.txt
5006,义乌,jinqu_chuzhou_area,wu,gdd_wu,5006 - Yiwu.txt
5007,处州,jinqu_chuzhou_area,wu,gdd_wu,5007 - Chuzhou.txt
5008,郧阳,hanjiang_xiangyun_area,hubei,gdd_chu,5008 - Yunyang.txt
5009,随州,dean_qihuang_area,hubei,gdd_chu,5009 - Suizhou.txt
5010,承天,jingyi_shinan_area,hubei,gdd_chu,5010 - Chengtian.txt
5011,汉口,wuhan_enan_area,hubei,gdd_chu,5011 - Hankou.txt
5012,黄州,dean_qihuang_area,hubei,gdd_chu,5012 - Huangzhou.txt
5013,施州,jingyi_shinan_area,miao,gdd_diqiang,5013 - Shizhou.txt
5014,公安,dongting_area,hubei,gdd_chu,5014 - Gongan.txt
5015,沔阳,jingyi_shinan_area,hubei,gdd_chu,5015 - Mianyang.txt
5016,兴国,wuhan_enan_area,hubei,gdd_chu,5016 - Xingguo.txt
5017,,,zhongyuan,gdd_zhongyuan,5017 - Pizhou.txt
5018,宿迁,xuhuai_haizhou_area,jianghuai,gdd_jianghuai,5018 - Suqian.txt
5019,,,jianghuai,gdd_jianghuai,5019 - Qinghe.txt
5020,盐城,xuhuai_haizhou_area,jianghuai,gdd_jianghuai,5020 - Yancheng.txt
5021,高邮,huaiyang_tongtai_area,jianghuai,gdd_jianghuai,5021 - Gaoyou.txt
5022,通州,huaiyang_tongtai_area,jianghuai,gdd_jianghuai,5022 - Tongzhou.txt
5023,如皋,huaiyang_tongtai_area,jianghuai,gdd_jianghuai,5023 - Rugao.txt
5024,常州,jinling_wuhui_area,wu,gdd_wu,5024 - Changzhou.txt
5025,无锡,jinling_wuhui_area,wu,gdd_wu,5025 - Wuxi.txt
5026,合州,chongqing_area,sichuanese,gdd_shu,5026 - Hezhou (Chongqing).txt
5027,涪州,chongqing_area,sichuanese,miao,5027 - Fuzhou (Chongqing).txt
5028,夔州,chongqing_area,sichuanese,gdd_diqiang,5028 - Kuizhou.txt
5030,郑州,wangji_area,zhongyuan,gdd_zhongyuan,5030 - Zhengzhou.txt
5031,陈留,wangji_area,zhongyuan,gdd_zhongyuan,5031 - Chenliu.txt
5045,孟津,chengzhou_area,zhongyuan,gdd_zhongyuan,5045 - Mengjin.txt
5046,偃师,chengzhou_area,zhongyuan,gdd_zhongyuan,5046 - Yanshi.txt
5047,卫辉,hebei_zhangwei_area,zhongyuan,gdd_songwei,5047 - Weihui.txt
5048,彰德,hebei_zhangwei_area,zhongyuan,gdd_zhongyuan,5048 - Zhangde.txt
5049,滑州,hebei_zhangwei_area,zhongyuan,gdd_songwei,5049 - Huazhou.txt
5050,睢州,guide_xuchen_area,zhongyuan,gdd_songwei,5050 - Suizhou.txt
5051,陈州,guide_xuchen_area,zhongyuan,gdd_zhongyuan,5051 - Chenzhou.txt
5052,许州,guide_xuchen_area,zhongyuan,gdd_zhongyuan,5052 - Xuzhou.txt
5053,汝州,runing_nanyang_area,zhongyuan,gdd_zhongyuan,5053 - Ruzhou.txt
5054,汝宁,runing_nanyang_area,zhongyuan,gdd_zhongyuan,5054 - Runing.txt
5055,邓州,runing_nanyang_area,zhongyuan,gdd_zhongyuan,5055 - Dengzhou.txt
5056,江宁,yingtian_area,jianghuai,gdd_jianghuai,5056 - Jiangning.txt
5057,溧水,yingtian_area,jianghuai,gdd_wu,5057 - Lishui.txt
5058,亳州,huaiying_area,zhongyuan,gdd_zhongyuan,5058 - Bozhou.txt
5059,寿州,jianghuai_area,zhongyuan,gdd_jianghuai,5059 - Shouzhou.txt
5060,六安,jianghuai_area,jianghuai,gdd_jianghuai,5060 - Luan.txt
5061,巢湖,jianghuai_area,jianghuai,gdd_jianghuai,5061 - Chaohu.txt
5062,无为,wanjiang_area,jianghuai,gdd_jianghuai,5062 - Wuwei.txt
5063,滁州,jianghuai_area,jianghuai,gdd_jianghuai,5063 - Chuzhou.txt
5064,和州,jianghuai_area,jianghuai,gdd_jianghuai,5064 - Hezhou.txt
5065,池州,wanjiang_area,jianghuai,gdd_wu,5065 - Chizhou.txt
5066,芜湖,huining_area,jianghuai,gdd_wu,5066 - Wuhu.txt
5067,太平,huining_area,wu,gdd_wu,5067 - Taiping.txt
5068,广德,huining_area,wu,gdd_wu,5068 - Guangde.txt
5069,乌撒,qianxi_area,yi,yi,5069 - Wusa.txt
5070,水西,qianxi_area,yi,yi,5070 - Shuixi.txt
5071,普定,qianxi_area,miao,miao,5071 - Puding.txt
5072,普安,qianxi_area,yi,yi,5072 - Puan.txt
5073,清平,qiandong_area,miao,miao,5073 - Qingping.txt
5074,黎平,qiandong_area,miao,miao,5074 - Liping.txt
5075,灌州,sichuan_area,sichuanese,gdd_shu,5075 - Guanzhou.txt
5076,邛州,sichuan_area,sichuanese,gdd_shu,5076 - Qiongzhou.txt
5077,眉州,sichuan_area,sichuanese,gdd_shu,5077 - Meizhou (Sichuan).txt
5078,雅州,jiaya_area,sichuanese,gdd_shu,5078 - Yazhou.txt
5079,黎州,jiaya_area,sichuanese,gdd_shu,5079 - Lizhou (Sichuan).txt
5080,绵州,chuanbei_area,sichuanese,gdd_shu,5080 - Mianzhou.txt
5081,剑州,chuanbei_area,sichuanese,gdd_shu,5081 - Jianzhou (Sichuan).txt
5082,顺庆,chuanbei_area,sichuanese,gdd_shu,5082 - Shunqing.txt
5083,资州,chuannan_area,sichuanese,gdd_shu,5083 - Zizhou.txt
5084,富顺,chuannan_area,sichuanese,gdd_shu,5084 - Fushun.txt
5085,叙州,chuannan_area,sichuanese,gdd_shu,5085 - Xuzhou (Sichuan).txt
5086,茂州,songmao_area,tibetan,gdd_diqiang,5086 - Maozhou.txt
5087,汶川,aba_area,tibetan,gdd_diqiang,5087 - Wenchuan.txt
5088,南坪,songmao_area,tibetan,gdd_diqiang,5088 - Nanping.txt
5090,金川,aba_area,tibetan,gdd_diqiang,5090 - Jinchuan.txt
5092,若尔盖,songmao_area,tibetan,gdd_diqiang,5092 - Zoige.txt
5094,会理,liangshan_area,yi,yi,5094 - Huili.txt
5095,盐源,liangshan_area,yi,yi,5095 - Yanyuan.txt
5096,福宁,fujian_area,chimin,gdd_min,5096 - Funing.txt
5097,福清,fujian_area,chimin,gdd_min,5097 - Fuqing.txt
5098,永春,minnan_area,chimin,gdd_min,5098 - Yongchun.txt
5099,延平,west_fujian_area,chimin,gdd_min,5099 - Yanping.txt
5100,龙岩,west_fujian_area,chimin,gdd_min,5100 - Longyan.txt
5101,临清,luxi_area,shandong,gdd_zhongyuan,5101 - Linqing.txt
5102,德州,luxi_area,shandong,gdd_qi,5102 - Dezhou.txt
5103,东昌,luxi_area,shandong,gdd_zhongyuan,5103 - Dongchang.txt
5104,淄博（临淄）,qizhou_area,shandong,gdd_qi,5104 - Linzi.txt
5105,青州,qizhou_area,shandong_culture,gdd_qi,5105 - Qingzhou.txt
5106,宁海,denglai_area,shandong_culture,gdd_qi,5106 - Ninghai.txt
5107,胶州,denglai_area,shandong,gdd_qi,5107 - Jiaozhou.txt
5108,泰安,lunan_area,shandong,gdd_qi,5108 - Taian.txt
5109,曲阜,lunan_area,shandong,gdd_qi,5109 - Qufu.txt
5110,济宁,lunan_area,shandong,gdd_zhongyuan,5110 - Jining.txt
5111,曹州,luxi_area,shandong,gdd_zhongyuan,5111 - Caozhou.txt
5112,沂州,lunan_area,shandong,gdd_qi,5112 - Yizhou.txt
5113,昌平,yandu_area,yan,gdd_yan,5113 - Changping.txt
5114,密云,yandu_area,yan,gdd_yan,5114 - Miyun.txt
5115,通州,yandu_area,yan,gdd_yan,5115 - Tongzhou.txt
5116,涿州,yandu_area,yan,gdd_yan,5116 - Zhuozhou.txt
5200,平乐,guangxi_area,zhuang,gdd_gui,5200 - Pingle.txt
5201,思恩,guidong_area,zhuang,gdd_zhuang,5201 - Sien.txt
5202,鬱州,guidong_area,cantonese,gdd_guangfu,5202 - Yuzhou.txt
5203,思明,youjiang_area,zhuang,gdd_zhuang,5203 - Siming.txt
5207,广宁,xi_liaoning_area,chihan,gdd_yan,5207 - Guangning.txt
5208,全州,guangxi_area,zhuang,gdd_gui,5208 - Quanzhou.txt
5209,锦州,xi_liaoning_area,chihan,gdd_dongyi,5209 - Jinzhou.txt
5210,田州,youjiang_area,zhuang,gdd_zhuang,5210 - Tianzhou.txt
5211,山海关,dong_hebei_area,zhili,gdd_dongyi,5211 - Shanhaiguan.txt
5212,滦州,dong_hebei_area,yan,gdd_yan,5212 - Luanzhou.txt
5213,遵化,dong_hebei_area,yan,gdd_yan,5213 - Zunhua.txt
5214,河源,dongjiang_area,hakka,gdd_hakka,5214 - Heyuan.txt
5215,龙川,dongjiang_area,hakka,gdd_hakka,5215 - Longchuan.txt
5216,连州,guangdong_area,hakka,gdd_hakka,5216 - Lianzhou.txt
5217,普宁,chaoshan_area,chimin,gdd_min,5217 - Puning.txt
5218,易州,south_hebei_area,zhili,gdd_yan,5218 - Yizhou.txt
5219,冀州,zhong_hebei_area,zhili,gdd_yan,5219 - Jizhou.txt
5220,顺德,south_hebei_area,zhili,gdd_yan,5220 - Shunde.txt
5221,广平,south_hebei_area,zhili,gdd_yan,5221 - Guangping.txt
5222,天津,zhong_hebei_area,shandong,gdd_qi,5222 - Tianjin.txt
5223,沧州,zhong_hebei_area,shandong,gdd_yan,5223 - Cangzhou.txt
5226,剑川,dianxibei_area,bai,bai,5226 - Jianchuan.txt
5227,泸水,dianxi_area,shan,bai,5227 - Lushui.txt
5228,保山,dianxi_area,bai,yi,5228 - Baoshan.txt
5229,楚雄,yunnan_area,yi,yi,5229 - Chuxiong.txt
5230,玉溪,yunnan_area,bai,gdd_dian,5230 - Yuxi.txt
5231,东川,yunnan_area,yi,yi,5231 - Dongchuan.txt
5232,昭通,diandong_area,yi,yi,5232 - Zhaotong.txt
5233,镇雄,diandong_area,yi,yi,5233 - Zhenxiong.txt
5234,宣威,diandong_area,yi,yi,5234 - Xuanwei.txt
5235,临沧,dianxinan_area,yi,yi,5235 - Lincang.txt
5237,镇沅,diannan_area,yi,yi,5237 - Zhenyuan.txt
5240,蒙自,diannan_area,bai,gdd_dian,5240 - Mengzi.txt
5241,红河,diannan_area,yi,yi,5241 - Honghe.txt
5242,右玉,yanmen_area,zhili,gdd_jin,5242 - Youyu.txt
5243,朔州,yanmen_area,zhili,gdd_jin,5243 - Shuozhou.txt
5244,代州,yanmen_area,zhili,gdd_jin,5244 - Daizhou.txt
5245,忻州,shanxi_area,zhili,gdd_jin,5245 - Xinzhou.txt
5246,平定,shanxi_area,zhili,gdd_jin,5246 - Pingding.txt
5247,辽州,shanxi_area,zhili,gdd_jin,5247 - Liaozhou.txt
5248,汾州,shanxi_area,zhili,gdd_jin,5248 - Fenzhou.txt
5249,绛州,shangdang_area,zhili,gdd_jin,5249 - Jiangzhou.txt
5250,曲沃,shangdang_area,zhili,gdd_jin,5250 - Quwo.txt
5251,沁州,shangdang_area,zhili,gdd_jin,5251 - Qinzhou.txt
5252,泽州,shangdang_area,zhili,gdd_jin,5252 - Zezhou.txt
5253,解州,hedong_area,zhili,gdd_jin,5253 - Jiezhou.txt
5254,蒲州,hedong_area,zhili,gdd_jin,5254 - Puzhou.txt
5255,离石,hedong_area,zhili,gdd_jin,5255 - Lishi.txt
5256,隰州,hedong_area,zhili,gdd_jin,5256 - Xizhou.txt
5265,葭州,bei_shaanxi_area,zhili,gdd_jin,5265 - Jiazhou.txt
5266,榆林,bei_shaanxi_area,zhili,gdd_jin,5266 - Yulin.txt
5267,绥德,bei_shaanxi_area,zhili,gdd_jin,5267 - Suide.txt
5268,鄜州,bei_shaanxi_area,zhili,gdd_jin,5268 - Fuzhou.txt
5269,同州,shaanxi_area,zhili,gdd_jin,5269 - Tongzhou.txt
5270,华州,shaanxi_area,zhili,gdd_zhongyuan,5270 - Huazhou.txt
5271,邠州,shaanxi_area,zhili,gdd_zhongyuan,5271 - Binzhou.txt
5272,商州,changan_area,zhili,gdd_zhongyuan,5272 - Shangzhou.txt
5273,金州,nan_shaanxi_area,zhili,gdd_zhongyuan,5273 - Jinzhou.txt
5274,兴安,nan_shaanxi_area,zhili,gdd_shu,5274 - Xingan.txt
5275,宁羌,nan_shaanxi_area,zhili,gdd_diqiang,5275 - Ningqiang.txt
5276,秦安,xi_shaanxi_area,zhili,gdd_long,5276 - Qinan.txt
5277,固原,xi_shaanxi_area,zhili,gdd_long,5277 - Guyuan.txt
5278,静宁,xi_shaanxi_area,zhili,gdd_long,5278 - Jingning.txt
5283,咸阳,changan_area,zhili,gdd_zhongyuan,5283 - Xianyang.txt
5284,镐京,changan_area,zhili,gdd_zhongyuan,5284 - Haojing.txt
5285,蓝田,changan_area,zhili,gdd_zhongyuan,5285 - Lantian.txt
5286,中卫,ningxia_area,mongol,gdd_long,5286 - Zhongwei.txt
5287,灵州,ningxia_area,mongol,gdd_long,5287 - Lingzhou.txt
5288,松山,ningxia_area,mongol,gdd_long,5288 - Songshan.txt
5289,阶州,longnan_area,xibei,gdd_diqiang,5289 - Jiezhou Gansu.txt
5290,宕昌,longnan_area,tibetan,gdd_diqiang,5290 - Dangchang.txt
5291,岷州,longyou_area,xibei,gdd_long,5291 - Minzhou.txt
5292,碾伯,gansu_area,xibei,gdd_long,5292 - Nianbo.txt
5293,河州,gansu_area,xibei,gdd_long,5293 - Hezhou Gansu.txt
5294,狄道,gansu_area,xibei,gdd_long,5294 - Didao.txt
5295,永昌,hexi_area,xibei,gdd_long,5295 - Yongchang.txt
5296,张掖,hexi_area,xibei,gdd_long,5296 - Zhangye.txt
5297,嘉峪,hexi_area,xibei,gdd_long,5297 - Jiayu.txt
5301,儋州,hainan_area,chimin,gdd_zhuang,5301 - Danzhou.txt
5302,昌化,hainan_area,chimin,gdd_zhuang,5302 - Changhua.txt
5303,万州,hainan_area,chimin,gdd_min,5303 - Wanzhou.txt
5305,清水,xi_shaanxi_area,xibei,gdd_zhongyuan,5305 - Qingshui Gansu.txt
5306,通渭,xi_shaanxi_area,xibei,gdd_long,5306 - Tongwei.txt
5307,临洮,longyou_area,xibei,gdd_long,5307 - Lintao.txt
5308,巩昌,longyou_area,xibei,gdd_diqiang,5308 - Gongchang.txt
